model,removed_governance_metric,metric,mean,ci_lower_2_5,ci_upper_97_5,n_bootstrap_valid
full_governance_model,none,roc_auc,0.9664029882826168,0.941173135921035,0.9866077153907608,1000
full_governance_model,none,average_precision,0.9076705560039625,0.8271564389972957,0.9647338136110846,1000
full_governance_model,none,f1,0.8110875719310029,0.704225352112676,0.9,1000
full_governance_model,none,balanced_accuracy,0.8654666268750739,0.7987899864252725,0.9265251693766937,1000
full_governance_model,none,mcc,0.7571190173602524,0.6308551048539135,0.8662990138478975,1000
leave_out__panel_traceability_index_0_1,panel_traceability_index_0_1,roc_auc,0.9659264901950785,0.9406130268199234,0.9867425833078829,1000
leave_out__panel_traceability_index_0_1,panel_traceability_index_0_1,average_precision,0.9067409102334433,0.8254060053886841,0.9636964590968936,1000
leave_out__panel_traceability_index_0_1,panel_traceability_index_0_1,f1,0.8110875719310029,0.704225352112676,0.9,1000
leave_out__panel_traceability_index_0_1,panel_traceability_index_0_1,balanced_accuracy,0.8654666268750739,0.7987899864252725,0.9265251693766937,1000
leave_out__panel_traceability_index_0_1,panel_traceability_index_0_1,mcc,0.7571190173602524,0.6308551048539135,0.8662990138478975,1000
leave_out__panel_interpretability_index_0_1,panel_interpretability_index_0_1,roc_auc,0.9662228053838795,0.9398725793269811,0.9867819546572791,1000
leave_out__panel_interpretability_index_0_1,panel_interpretability_index_0_1,average_precision,0.9075258288951952,0.8253599779059104,0.9644539398448226,1000
leave_out__panel_interpretability_index_0_1,panel_interpretability_index_0_1,f1,0.8110875719310029,0.704225352112676,0.9,1000
leave_out__panel_interpretability_index_0_1,panel_interpretability_index_0_1,balanced_accuracy,0.8654666268750739,0.7987899864252725,0.9265251693766937,1000
leave_out__panel_interpretability_index_0_1,panel_interpretability_index_0_1,mcc,0.7571190173602524,0.6308551048539135,0.8662990138478975,1000
leave_out__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,roc_auc,0.9664239106124752,0.9396959846508482,0.9868016803046677,1000
leave_out__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,average_precision,0.9099707770641184,0.8327533454122935,0.9668985565251688,1000
leave_out__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,f1,0.8110875719310029,0.704225352112676,0.9,1000
leave_out__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,balanced_accuracy,0.8654666268750739,0.7987899864252725,0.9265251693766937,1000
leave_out__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,mcc,0.7571190173602524,0.6308551048539135,0.8662990138478975,1000
leave_out__panel_governance_alignment_index_0_1,panel_governance_alignment_index_0_1,roc_auc,0.9657462859711061,0.939249074120775,0.9873093131765585,1000
leave_out__panel_governance_alignment_index_0_1,panel_governance_alignment_index_0_1,average_precision,0.9045099264508765,0.8228627313940999,0.9630083967822393,1000
leave_out__panel_governance_alignment_index_0_1,panel_governance_alignment_index_0_1,f1,0.8110875719310029,0.704225352112676,0.9,1000
leave_out__panel_governance_alignment_index_0_1,panel_governance_alignment_index_0_1,balanced_accuracy,0.8654666268750739,0.7987899864252725,0.9265251693766937,1000
leave_out__panel_governance_alignment_index_0_1,panel_governance_alignment_index_0_1,mcc,0.7571190173602524,0.6308551048539135,0.8662990138478975,1000
leave_out__panel_risk_signal_completeness_0_1,panel_risk_signal_completeness_0_1,roc_auc,0.9670371167920383,0.9421774193548388,0.9878101693207014,1000
leave_out__panel_risk_signal_completeness_0_1,panel_risk_signal_completeness_0_1,average_precision,0.9089904119798897,0.8282950651831027,0.9660995930930186,1000
leave_out__panel_risk_signal_completeness_0_1,panel_risk_signal_completeness_0_1,f1,0.8110875719310029,0.704225352112676,0.9,1000
