model,feature,role,removed_governance_metric
full_governance_model,year,leakage_safe_baseline,none
full_governance_model,period_order,leakage_safe_baseline,none
full_governance_model,value_mean,leakage_safe_baseline,none
full_governance_model,value_median,leakage_safe_baseline,none
full_governance_model,value_sum,leakage_safe_baseline,none
full_governance_model,value_min,leakage_safe_baseline,none
full_governance_model,value_max,leakage_safe_baseline,none
full_governance_model,value_std,leakage_safe_baseline,none
full_governance_model,value_winsorized,leakage_safe_baseline,none
full_governance_model,is_core_indicator,leakage_safe_baseline,none
full_governance_model,is_revenue_related,leakage_safe_baseline,none
full_governance_model,is_expenditure_related,leakage_safe_baseline,none
full_governance_model,is_debt_related,leakage_safe_baseline,none
full_governance_model,is_surplus_deficit_related,leakage_safe_baseline,none
full_governance_model,panel_traceability_index_0_1,governance_metric,none
full_governance_model,panel_interpretability_index_0_1,governance_metric,none
full_governance_model,panel_audit_readiness_index_0_1,governance_metric,none
full_governance_model,panel_governance_alignment_index_0_1,governance_metric,none
full_governance_model,panel_risk_signal_completeness_0_1,governance_metric,none
full_governance_model,panel_temporal_support_index_0_1,governance_metric,none
full_governance_model,panel_decision_usability_index_0_1,governance_metric,none
full_governance_model,panel_interpretability_score_1_5,governance_metric,none
full_governance_model,panel_decision_usability_score_1_5,governance_metric,none
leave_out__panel_traceability_index_0_1,year,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,period_order,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,value_mean,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,value_median,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,value_sum,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,value_min,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,value_max,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,value_std,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,value_winsorized,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,is_core_indicator,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,is_revenue_related,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,is_expenditure_related,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,is_debt_related,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,is_surplus_deficit_related,leakage_safe_baseline,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,panel_interpretability_index_0_1,governance_metric,panel_traceability_index_0_1
leave_out__panel_traceability_index_0_1,panel_audit_readiness_index_0_1,governance_metric,panel_traceability_index_0_1
