year,period,period_order,category,n_records,n_labels,n_indicators,n_source_files,value_mean,value_median,value_std,value_min,value_max
2021,End-Year/Annual,5,Expenditure,2,1,1,1,1014466.5,1014466.5,34600.85612380133,990000.0,1038933.0
2021,End-Year/Annual,5,Revenue,2,1,1,1,907275.0,907275.0,82322.78567930024,849064.0,965486.0
2021,End-Year/Annual,5,Surplus/Deficit,2,1,1,1,-107191.5,-107191.5,47721.92955549891,-140936.0,-73447.0
2022,Q1,1,Expenditure,65,32,1,4,48561.98371399068,12670.46,101093.1199470995,-0.19,701620.3452881174
2022,Q1,1,Non-oil revenue,1,1,1,1,94259.89162156,94259.89162156,,94259.89162156,94259.89162156
2022,Q1,1,Oil revenue,1,1,1,1,183698.755811325,183698.755811325,,183698.755811325,183698.755811325
2022,Q1,1,Other,5,5,1,1,0.0,0.0,0.0,0.0,0.0
2022,Q1,1,Revenue,7,7,1,1,53462.934150634996,5064.22321262,101177.9843037439,2022.0,277958.647432885
2022,Q1,1,Surplus/Deficit,7,7,1,3,16426.0,0.0,28052.735546942065,0.0,57491.0
2022,Q2,2,Expenditure,63,34,1,2,81435.22889944095,20240.339100580004,168745.48917564505,0.6328553166381888,1038933.0
2022,Q2,2,Non-oil revenue,3,2,1,1,171651.33333333334,120001.0,111441.48540975813,95406.0,299547.0
2022,Q2,2,Oil revenue,3,2,1,1,265013.3333333333,250364.0,125008.43169295955,147975.0,396701.0
2022,Q2,2,Other,5,5,1,1,0.0,0.0,0.0,0.0,0.0
2022,Q2,2,Revenue,21,15,1,1,87094.85714285714,18313.0,169038.65836053176,3.0,696248.0
2022,Q2,2,Surplus/Deficit,2,2,1,2,77907.0,77907.0,0.0,77907.0,77907.0
2022,Q3,3,Expenditure,72,32,1,2,102775.22011216907,28848.0,192526.24130155213,0.87,1038933.0
2022,Q3,3,Non-oil revenue,6,3,1,2,168780.66666666666,88296.5,142012.71858346584,72845.0,403295.0
2022,Q3,3,Oil revenue,6,3,1,2,346306.1666666667,229023.0,210198.41450821332,165490.0,663087.0
2022,Q3,3,Other,5,5,1,1,0.0,0.0,0.0,0.0,0.0
2022,Q3,3,Revenue,41,21,1,2,100226.29268292683,18617.9,217180.69142525695,3.0,965486.0
2022,Q3,3,Surplus/Deficit,2,2,1,2,14143.0,14143.0,0.0,14143.0,14143.0
2022,Q4,4,Expenditure,41,31,1,1,149168.77043973038,52178.0,259761.97018145534,4.0,1164309.0
2022,Q4,4,Non-oil revenue,3,2,1,1,219487.66666666666,123786.0,165760.1490356875,123786.0,410891.0
2022,Q4,4,Oil revenue,3,2,1,1,415214.6666666667,194186.0,382832.8805958722,194186.0,857272.0
2022,Q4,4,Revenue,21,15,1,1,122219.86735000143,24481.0,281474.15441776643,4.0,1268164.0
2022,Q4,4,Surplus/Deficit,1,1,1,1,-45686.0,-45686.0,,-45686.0,-45686.0
2022,End-Year/Annual,5,Debt,12,6,1,1,248625.91666666666,60002.5,316126.85780940374,0.0,938010.0
2022,End-Year/Annual,5,Expenditure,103,24,1,3,78731.17704596637,7434.393418080001,192986.1400286418,-0.47,1164308.8432161123
2022,End-Year/Annual,5,Non-oil revenue,6,1,1,1,109059.68,117978.5,93875.2859998722,0.03,214260.0
2022,End-Year/Annual,5,Oil revenue,6,1,1,1,177550.77333333335,190438.0,168092.47655666588,0.75,434063.0
2022,End-Year/Annual,5,Other,7,6,1,1,64300.32257415856,0.0,122390.26133250972,0.0,318651.22371911
2022,End-Year/Annual,5,Revenue,41,9,1,3,114422.43691351956,10405.0,275387.81208824285,-0.06,1268163.723454302
2022,End-Year/Annual,5,Surplus/Deficit,3,2,1,3,109781.29341272986,103854.8802381896,23228.606288077714,90090.0,135399.0
2022,Public Debt,90,Debt,1,1,1,1,2022.0,2022.0,,2022.0,2022.0
2022,الدين الخارجي External Debt,90,Debt,10,5,1,3,155455.2,20817.5,188205.35400980373,0.0,379263.0
2022,الدين الداخلي Domestic Debt,90,Debt,12,6,1,3,306501.0,99939.0,327375.3701328741,0.0,938010.0
2022,الدين العام,90,Debt,1,1,1,1,1443.0,1443.0,,1443.0,1443.0
2022,Column_2,90,Expenditure,21,21,1,1,91144.9310899921,2022.0,208767.63809195012,-0.8764031384599635,955000.0
2022,Column_3,90,Expenditure,23,22,1,1,38518.03798258956,12670.46928673,63335.786786864905,1.0,220467.21839989
2022,Column_4,90,Expenditure,21,21,1,1,20306.336674223938,1.0,51530.78606229942,0.1531778387215047,212204.41201669
2022,Column_6,90,Expenditure,10,10,1,1,0.03775309900601796,0.04748365905843405,0.07628955342646845,-0.1190484576387377,0.1292031277448078
2022,Total,90,Expenditure,66,31,1,2,88546.4999086002,0.5206139585799063,217674.6186172857,-0.444546660130408,1164309.0
2022,Column_2,90,Non-oil revenue,1,1,1,1,0.068890430578114,0.068890430578114,,0.068890430578114,0.068890430578114
2022,Column_3,90,Non-oil revenue,1,1,1,1,94259.89162156,94259.89162156,,94259.89162156,94259.89162156
2022,Column_4,90,Non-oil revenue,1,1,1,1,88184.8026,88184.8026,,88184.8026,88184.8026
2022,الإجمالي,90,Non-oil revenue,6,3,1,2,116332.88726624676,0.10598796026954166,184424.2646652503,-0.24,410891.39162156
2022,Column_2,90,Oil revenue,1,1,1,1,0.5757837487022137,0.5757837487022137,,0.5757837487022137,0.5757837487022137
2022,Column_3,90,Oil revenue,1,1,1,1,183698.755811325,183698.755811325,,183698.755811325,183698.755811325
2022,Column_4,90,Oil revenue,1,1,1,1,116576.12027197,116576.12027197,,116576.12027197,116576.12027197
2022,الإجمالي,90,Oil revenue,6,3,1,2,253393.44568138453,0.6100000000000001,397328.52980781044,0.1734002054504804,857271.755811325
