source_file,source_relative_path,sheet_name,source_sha256,file_year_guess,file_period_guess,year,period,row_number_in_cleaned_table,label,category,value_column,value,raw_value,unit,label_columns_used,normalized_indicator,period_order
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2021,End-Year/Annual,2,إجمالي المصروفات | Total Expenditures,Expenditure,FY 2021 Budget,990000.0,990000,unspecified,البيان | Items,total_expenditure,5
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2021,End-Year/Annual,2,إجمالي المصروفات | Total Expenditures,Expenditure,FY 2021 Actual,1038933.0,1038933,unspecified,البيان | Items,total_expenditure,5
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2021,End-Year/Annual,1,إجمالي الإيرادات | Total Revenues,Revenue,FY 2021 Budget,849064.0,849064,unspecified,البيان | Items,total_revenue,5
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2021,End-Year/Annual,1,إجمالي الإيرادات | Total Revenues,Revenue,FY 2021 Actual,965486.0,965486,unspecified,البيان | Items,total_revenue,5
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2021,End-Year/Annual,3,(الفائض/ (العجز | Surplus/(Deficit),Surplus/Deficit,FY 2021 Budget,-140936.0,-140936,unspecified,البيان | Items,surplus_deficit,5
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2021,End-Year/Annual,3,(الفائض/ (العجز | Surplus/(Deficit),Surplus/Deficit,FY 2021 Actual,-73447.0,-73447,unspecified,البيان | Items,surplus_deficit,5
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,Q1,16,Unlabeled row,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2021,1.0,Spending Until Q1 2021,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1443/ 1444هـ (2022م) | Column_7,total_expenditure,1
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q1,0,Unlabeled row,Expenditure,Q1,2022.0,2022,unspecified,المصروفات* | Column_7,total_expenditure,1
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q1,39,Unlabeled row,Expenditure,Q1,3.0,Until Q3 2021,unspecified,المصروفات* | Column_7,total_expenditure,1
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q1,2,استخدام السلع والخدمات,Expenditure,Q1,31810.0,31810,unspecified,المصروفات* | Column_7,total_expenditure,1
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,Q1,2,استخدام السلع والخدمات | Use of Goods and Services,Expenditure,Q1,31810.0,31810,unspecified,المصروفات* | Expenditures*,total_expenditure,1
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,Q1,15,اسم القطاع | Sector,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2021,2021.0,المنصرف للربع الأول 2021م,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1443/ 1444هـ (2022م) | Column_7,total_expenditure,1
2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,MoF_Web_Crawl\2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,Expenditures,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,2023,,2022,Q1,15,اسم القطاع | Sector,Expenditure,Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023,2022.0,المنصرف للربع الأول 2022م,unspecified,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_7,total_expenditure,1
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q1,8,الأصول غير المالية (رأسمالي),Expenditure,Q1,14836.0,14836,unspecified,المصروفات* | Column_7,total_expenditure,1
