concept,candidate_feature,preferred_numeric_value_feature,non_missing_count,mean
domestic_debt,debt_domestic_debt__value_mean,True,13,287038.1413159353
domestic_debt,debt_domestic_debt__value_median,True,13,131564.3731095677
domestic_debt,debt_domestic_debt__value_sum,True,13,1757757.4139652534
domestic_debt,debt_domestic_debt__value_count,False,13,5.615384615384615
domestic_debt,debt_domestic_debt__source_file_count,False,13,1.3076923076923077
domestic_debt,debt_domestic_debt__sheet_count,False,13,1.6153846153846154
external_debt,debt_external_debt__value_mean,True,13,166651.26206789672
external_debt,debt_external_debt__value_median,True,13,91708.85576920537
external_debt,debt_external_debt__value_sum,True,13,697460.9157947173
external_debt,debt_external_debt__value_count,False,13,4.461538461538462
external_debt,debt_external_debt__source_file_count,False,13,1.3076923076923077
external_debt,debt_external_debt__sheet_count,False,13,1.6153846153846154
non_oil_revenue,non_oil_revenue_non_oil_revenue__value_mean,True,14,148028.71516184823
non_oil_revenue,non_oil_revenue_non_oil_revenue__value_median,True,14,102181.51106880103
non_oil_revenue,non_oil_revenue_non_oil_revenue__value_sum,True,14,991202.7045512132
non_oil_revenue,other_non_oil_revenue__value_mean,True,1,3.5
non_oil_revenue,other_non_oil_revenue__value_median,True,1,3.5
non_oil_revenue,other_non_oil_revenue__value_sum,True,1,7.0
non_oil_revenue,non_oil_revenue_non_oil_revenue__value_count,False,14,6.5
non_oil_revenue,non_oil_revenue_non_oil_revenue__source_file_count,False,14,1.7857142857142858
non_oil_revenue,non_oil_revenue_non_oil_revenue__sheet_count,False,14,1.0
non_oil_revenue,other_non_oil_revenue__value_count,False,1,2.0
non_oil_revenue,other_non_oil_revenue__source_file_count,False,1,2.0
non_oil_revenue,other_non_oil_revenue__sheet_count,False,1,1.0
oil_revenue,non_oil_revenue_non_oil_revenue__value_mean,True,14,148028.71516184823
oil_revenue,oil_revenue_oil_revenue__value_mean,True,14,249871.22816830061
oil_revenue,non_oil_revenue_non_oil_revenue__value_median,True,14,102181.51106880103
oil_revenue,oil_revenue_oil_revenue__value_median,True,14,178909.19673371254
oil_revenue,non_oil_revenue_non_oil_revenue__value_sum,True,14,991202.7045512132
oil_revenue,oil_revenue_oil_revenue__value_sum,True,14,1685214.1859322323
oil_revenue,other_non_oil_revenue__value_mean,True,1,3.5
oil_revenue,other_non_oil_revenue__value_median,True,1,3.5
oil_revenue,other_non_oil_revenue__value_sum,True,1,7.0
oil_revenue,non_oil_revenue_non_oil_revenue__value_count,False,14,6.5
oil_revenue,oil_revenue_oil_revenue__value_count,False,14,6.5
oil_revenue,non_oil_revenue_non_oil_revenue__source_file_count,False,14,1.7857142857142858
oil_revenue,oil_revenue_oil_revenue__source_file_count,False,14,1.7857142857142858
oil_revenue,non_oil_revenue_non_oil_revenue__sheet_count,False,14,1.0
oil_revenue,oil_revenue_oil_revenue__sheet_count,False,14,1.0
oil_revenue,other_non_oil_revenue__value_count,False,1,2.0
oil_revenue,other_non_oil_revenue__source_file_count,False,1,2.0
oil_revenue,other_non_oil_revenue__sheet_count,False,1,1.0
public_debt,debt_domestic_debt__value_mean,True,13,287038.1413159353
public_debt,debt_external_debt__value_mean,True,13,166651.26206789672
public_debt,debt_domestic_debt__value_median,True,13,131564.3731095677
public_debt,debt_external_debt__value_median,True,13,91708.85576920537
public_debt,debt_domestic_debt__value_sum,True,13,1757757.4139652534
public_debt,debt_external_debt__value_sum,True,13,697460.9157947173
public_debt,debt_public_debt__value_mean,True,7,1733.357142857143
public_debt,debt_public_debt__value_median,True,7,1733.357142857143
public_debt,debt_public_debt__value_sum,True,7,3466.714285714286
public_debt,debt_domestic_debt__value_count,False,13,5.615384615384615
public_debt,debt_external_debt__value_count,False,13,4.461538461538462
public_debt,debt_domestic_debt__source_file_count,False,13,1.3076923076923077
public_debt,debt_external_debt__source_file_count,False,13,1.3076923076923077
public_debt,debt_domestic_debt__sheet_count,False,13,1.6153846153846154
public_debt,debt_external_debt__sheet_count,False,13,1.6153846153846154
public_debt,debt_public_debt__value_count,False,7,2.0
public_debt,debt_public_debt__source_file_count,False,7,1.0
public_debt,debt_public_debt__sheet_count,False,7,1.0
surplus_deficit,surplus_deficit_surplus_deficit__value_mean,True,16,-1159.7028315783855
surplus_deficit,surplus_deficit_surplus_deficit__value_median,True,16,-3804.0901979019636
surplus_deficit,surplus_deficit_surplus_deficit__value_sum,True,16,22068.567611630402
surplus_deficit,surplus_deficit_surplus_deficit__value_count,False,16,4.125
surplus_deficit,surplus_deficit_surplus_deficit__source_file_count,False,16,1.875
surplus_deficit,surplus_deficit_surplus_deficit__sheet_count,False,16,1.4375
total_expenditure,expenditure_total_expenditure__value_mean,True,16,234755.09919547066
total_expenditure,expenditure_total_expenditure__value_median,True,16,162538.6713905508
total_expenditure,expenditure_total_expenditure__value_sum,True,16,9053101.650302868
total_expenditure,expenditure_total_expenditure__value_count,False,16,94.6875
total_expenditure,expenditure_total_expenditure__source_file_count,False,16,2.4375
total_expenditure,expenditure_total_expenditure__sheet_count,False,16,1.125
total_revenue,revenue_total_revenue__value_mean,True,16,218750.9284609183
total_revenue,revenue_total_revenue__value_median,True,16,141718.92567859407
total_revenue,revenue_total_revenue__value_sum,True,16,3845182.6809244794
total_revenue,non_oil_revenue_non_oil_revenue__value_mean,True,14,148028.71516184823
total_revenue,oil_revenue_oil_revenue__value_mean,True,14,249871.22816830061
total_revenue,non_oil_revenue_non_oil_revenue__value_median,True,14,102181.51106880103
total_revenue,oil_revenue_oil_revenue__value_median,True,14,178909.19673371254
total_revenue,non_oil_revenue_non_oil_revenue__value_sum,True,14,991202.7045512132
total_revenue,oil_revenue_oil_revenue__value_sum,True,14,1685214.1859322323
total_revenue,other_non_oil_revenue__value_mean,True,1,3.5
total_revenue,other_non_oil_revenue__value_median,True,1,3.5
total_revenue,other_non_oil_revenue__value_sum,True,1,7.0
total_revenue,revenue_total_revenue__value_count,False,16,38.0
total_revenue,revenue_total_revenue__source_file_count,False,16,2.0
total_revenue,revenue_total_revenue__sheet_count,False,16,1.125
total_revenue,non_oil_revenue_non_oil_revenue__value_count,False,14,6.5
total_revenue,oil_revenue_oil_revenue__value_count,False,14,6.5
total_revenue,non_oil_revenue_non_oil_revenue__source_file_count,False,14,1.7857142857142858
total_revenue,oil_revenue_oil_revenue__source_file_count,False,14,1.7857142857142858
total_revenue,non_oil_revenue_non_oil_revenue__sheet_count,False,14,1.0
total_revenue,oil_revenue_oil_revenue__sheet_count,False,14,1.0
total_revenue,other_non_oil_revenue__value_count,False,1,2.0
total_revenue,other_non_oil_revenue__source_file_count,False,1,2.0
total_revenue,other_non_oil_revenue__sheet_count,False,1,1.0
