source_file,source_relative_path,sheet_name,source_sha256,file_year_guess,file_period_guess,year,period,row_number_in_cleaned_table,label,category,value_column,value,raw_value,unit,label_columns_used,normalized_indicator,period_order
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,GOV.BUD,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2021,End-Year/Annual,2,إجمالي المصروفات | Total Expenditures,Expenditure,FY 2021 Budget,990000.0,990000,unspecified,البيان | Items,total_expenditure,5
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,GOV.BUD,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2021,End-Year/Annual,2,إجمالي المصروفات | Total Expenditures,Expenditure,FY 2021 Actual,1038933.0,1038933,unspecified,البيان | Items,total_expenditure,5
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,GOV.BUD,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2021,End-Year/Annual,2,إجمالي المصروفات | Total Expenditures,Expenditure,FY 2021 Budget,990000.0,990000,unspecified,البيان | Items,total_expenditure,5
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,GOV.BUD,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2021,End-Year/Annual,2,إجمالي المصروفات | Total Expenditures,Expenditure,FY 2021 Actual,1038933.0,1038933,unspecified,البيان | Items,total_expenditure,5
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,GOV.BUD,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2021,End-Year/Annual,2,إجمالي المصروفات | Total Expenditures,Expenditure,FY 2021 Budget,990000.0,990000,unspecified,البيان | Items,total_expenditure,5
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,GOV.BUD,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2021,End-Year/Annual,2,إجمالي المصروفات | Total Expenditures,Expenditure,FY 2021 Actual,1038933.0,1038933,unspecified,البيان | Items,total_expenditure,5
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,GOV.BUD,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2021,End-Year/Annual,1,إجمالي الإيرادات | Total Revenues,Revenue,FY 2021 Budget,849064.0,849064,unspecified,البيان | Items,total_revenue,5
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,GOV.BUD,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2021,End-Year/Annual,1,إجمالي الإيرادات | Total Revenues,Revenue,FY 2021 Actual,965486.0,965486,unspecified,البيان | Items,total_revenue,5
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,GOV.BUD,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2021,End-Year/Annual,1,إجمالي الإيرادات | Total Revenues,Revenue,FY 2021 Budget,849064.0,849064,unspecified,البيان | Items,total_revenue,5
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,GOV.BUD,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2021,End-Year/Annual,1,إجمالي الإيرادات | Total Revenues,Revenue,FY 2021 Actual,965486.0,965486,unspecified,البيان | Items,total_revenue,5
