file_name,sheet_name,year_guess,period_guess,column_name,non_null_count,unique_count,numeric_like,example_values
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,T.CONTENT,2022,,Unnamed: 0,9,9,False,"العنوان | مقدمة | الميزانيـــــة العامـــــة للدولــــــة
للسنة المالية 1444/1443هـ (2022م) | الملخص التنفيذي لأداء الميزانيـــــة العامـــــة للدولــــــة
للربع الأول من السنة المالية 1444/1443هـ (2022م) | الإيرادات"
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,T.CONTENT,2022,,Unnamed: 1,9,9,False,"Subject | INTRODUCTION | The Government Budget 
For FY 2022 | Summary of Q1 Performance | Revenues"
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,INTRODUCTION,2022,,Unnamed: 1,2,2,False,مقدمة | تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها.
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,INTRODUCTION,2022,,Unnamed: 10,1,1,False,"This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. 
It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. "
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,INTRODUCTION,2022,,Unnamed: 15,1,1,False,INTRODUCTION
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,2022,,Unnamed: 0,7,7,False,"الميزانية العامة للدولة 
 | للسنة المالية 1443/1444هـ (2022م) | (مليون ريال) | البيان | إجمالي الإيرادات"
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,2022,,Unnamed: 1,5,5,True,"FY 2021 
Budget | ميزانية
السنة المالية 1443/1442هـ
(2021م) | 849064 | 990000 | -140936"
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,2022,,Unnamed: 2,5,5,True,"FY 2021 
Actual | النتائج الفعلية لميزانية
السنة المالية 1443/1442هـ
(2021م) | 965486 | 1038933 | -73447"
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,2022,,Unnamed: 3,5,5,True,"FY 2022 
Budget | ميزانية
السنة المالية 1444/1443هـ
(2022م) | 1045090 | 955000 | 90090"
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,2022,,Unnamed: 4,6,6,False,The Government Budget for FY 2022 |  (SAR Million) | Items | Total Revenues | Total Expenditures
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Summary,2022,,Unnamed: 0,4,4,False,الملخص التنفيذي | النتائج الفعلية لأداء الميزانية للربع الأول من السنة المالية 1443/ 1444هـ (2022م) | (مليون ريال) | أداء الميزانية العامة للدولة للربع الأول من السنة المالية الحالية 1443/ 1444هـ (2022م) 
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Summary,2022,,Unnamed: 14,1,1,False,Quarterly Budget Performance Report of FY 2022 Q1 (1443/1444 H)
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Summary,2022,,Unnamed: 16,3,3,False,Summary of Q1 Performance | Actual performance in Q1 of FY 2022 |  (SAR Million)
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Revenues,2022,,Unnamed: 0,26,18,False,الإيرادات | الإيرادات الفعلية للربع الأول من السنة المالية 1443/ 1444هـ (2022م)  | (مليون ريال) | الإيرادات* | الإيرادات النفطية
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Revenues,2022,,Unnamed: 1,20,20,True,Q1 | 2022م | 183698.755811325 | 4112.05065303 | 60419.0815843
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Revenues,2022,,Unnamed: 2,10,10,True,Q1 | 2022 | 183698.755811325 | 4112.05065303 | 60419.0815843
