file_name,sheet_name,year_guess,period_guess,original_rows,original_columns,non_empty_rows,non_empty_columns,numeric_like_columns,text_like_columns
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,T.CONTENT,2022,,9,2,9,2,0,2
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,INTRODUCTION,2022,,9,16,2,3,0,3
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,2022,,8,5,8,5,3,2
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Summary,2022,,36,17,4,3,0,3
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Revenues,2022,,32,5,28,5,2,3
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,2022,,51,7,45,7,3,4
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Deficit,2022,,15,3,12,3,1,2
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,2022,,15,6,13,6,2,4
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Appendix,2022,,25,4,16,4,0,4
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,T.CONTENT,2022,,10,2,10,2,0,2
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,INTRODUCTION,2022,,9,16,2,3,0,3
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,GOV.BUD,2022,,8,5,8,5,3,2
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Summary,2022,,64,17,7,3,0,3
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Revenues,2022,,46,7,41,6,3,3
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,2022,,67,7,59,7,3,4
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Financing,2022,,15,6,13,6,4,2
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Gov.Reserve,2022,,12,3,10,3,1,2
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,2022,,15,6,13,6,2,4
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Appendix,2022,,25,4,16,4,0,4
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,T.CONTENT,2022,End-Year/Annual,10,2,10,2,0,2
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,INTRODUCTION,2022,End-Year/Annual,9,16,2,3,0,3
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,GOV.BUD,2022,End-Year/Annual,8,5,8,5,3,2
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Summary,2022,End-Year/Annual,64,17,7,3,0,3
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Revenues,2022,End-Year/Annual,46,7,41,6,3,3
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Expenditures,2022,End-Year/Annual,67,7,59,7,4,3
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Financing,2022,End-Year/Annual,15,5,13,5,3,2
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Gov.Reserve,2022,End-Year/Annual,12,3,10,3,1,2
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Debt,2022,End-Year/Annual,15,6,13,6,2,4
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Appendix,2022,End-Year/Annual,25,4,16,4,0,4
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,T.CONTENT,2022,,10,2,10,2,0,2
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,INTRODUCTION,2022,,9,16,2,3,0,3
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,GOV.BUD,2022,,8,5,8,5,3,2
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Summary,2022,,64,17,7,3,0,3
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Revenues,2022,,46,7,41,7,4,3
