source_file,source_relative_path,sheet_name,source_sha256,file_year_guess,file_period_guess,year,period,row_number_in_cleaned_table,label,category,value_column,value,raw_value,unit,label_columns_used,normalized_indicator,period_order
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,الدين الداخلي Domestic Debt,1,Unlabeled row,Debt,الدين الداخلي Domestic Debt,558747.0,558747,unspecified,البيان | Item,public_debt,90
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,الدين الخارجي External Debt,1,Unlabeled row,Debt,الدين الخارجي External Debt,379263.0,379263,unspecified,البيان | Item,public_debt,90
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,الدين العام,6,Unlabeled row,Debt,الدين العام,1443.0,أداء الميزانية العامة للدولة للربع الأول من السنة المالية الحالية 1443/ 1444هـ (2022م),unspecified,البيان | Item,public_debt,90
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,Public Debt,6,Unlabeled row,Debt,Public Debt,2022.0,Quarterly Budget Performance Report of FY 2022 Q1 (1443/1444 H),unspecified,البيان | Item,public_debt,90
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,الدين الداخلي Domestic Debt,4,إطفاء سندات حكومية | Amortization of Government Bonds,Debt,الدين الداخلي Domestic Debt,0.0,0,unspecified,البيان | Item,public_debt,90
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,الدين الخارجي External Debt,4,إطفاء سندات حكومية | Amortization of Government Bonds,Debt,الدين الخارجي External Debt,0.0,0,unspecified,البيان | Item,public_debt,90
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,الدين الداخلي Domestic Debt,2,الإصدارات أو الاقتراض | Issuances or Borrowings,Debt,الدين الداخلي Domestic Debt,52629.0,52629,unspecified,البيان | Item,public_debt,90
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,الدين الخارجي External Debt,2,الإصدارات أو الاقتراض | Issuances or Borrowings,Debt,الدين الخارجي External Debt,0.0,0,unspecified,البيان | Item,public_debt,90
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,الدين الداخلي Domestic Debt,2,الإصدارات أو الاقتراض | Issuances or Borrowings,Debt,الدين الداخلي Domestic Debt,93228.0,93228,unspecified,البيان | Item,public_debt,90
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,الدين الداخلي Domestic Debt,2,الإصدارات أو الاقتراض | Issuances or Borrowings,Debt,الدين الداخلي Domestic Debt,106650.0,106650,unspecified,البيان | Item,public_debt,90
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,الدين الخارجي External Debt,2,الإصدارات أو الاقتراض | Issuances or Borrowings,Debt,الدين الخارجي External Debt,18750.0,18750,unspecified,البيان | Item,public_debt,90
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,الدين الداخلي Domestic Debt,5,الرصيد آخر الفترة | End of Period Balance,Debt,الدين الداخلي Domestic Debt,579379.0,579379,unspecified,البيان | Item,public_debt,90
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,الدين الخارجي External Debt,5,الرصيد آخر الفترة | End of Period Balance,Debt,الدين الخارجي External Debt,379263.0,379263,unspecified,البيان | Item,public_debt,90
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,الدين الداخلي Domestic Debt,5,الرصيد آخر الفترة | End of Period Balance,Debt,الدين الداخلي Domestic Debt,610051.0,610051,unspecified,البيان | Item,public_debt,90
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,الدين الخارجي External Debt,5,الرصيد آخر الفترة | End of Period Balance,Debt,الدين الخارجي External Debt,361761.0,361761,unspecified,البيان | Item,public_debt,90
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,الدين الداخلي Domestic Debt,5,الرصيد آخر الفترة | End of Period Balance,Debt,الدين الداخلي Domestic Debt,614956.0,614956,unspecified,البيان | Item,public_debt,90
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,الدين الخارجي External Debt,5,الرصيد آخر الفترة | End of Period Balance,Debt,الدين الخارجي External Debt,375128.0,375128,unspecified,البيان | Item,public_debt,90
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,8edf985ea057843bccc812e75e542ed16e072e551f2ca6dc0d134f545f01aa98,2022,,2022,الدين الداخلي Domestic Debt,0,الرصيد أول الفترة | Beginning of Period Balance,Debt,الدين الداخلي Domestic Debt,938010.0,938010,unspecified,البيان | Item,public_debt,90
