panel_entity,category,normalized_indicator,n_observations,n_years,n_periods,first_year,last_year,mean_value,std_value,mean_abs_robust_z,max_abs_robust_z,mean_source_files,mean_source_sheets
revenue_total_revenue_revenues,Revenue,total_revenue,15,4,5,2021,2024,259068.4920725773,465395.11574787594,149777.28132157912,702758.0811428572,1.7333333333333334,1.0666666666666667
surplus_deficit_surplus_deficit_surplus_deficit,Surplus/Deficit,surplus_deficit,15,4,5,2021,2024,-12296.614304576718,67172.80133091046,0.9283743265175943,2.3659091179068192,1.6,1.1333333333333333
expenditure_total_expenditure_compensation_of_employees,Expenditure,total_expenditure,14,3,5,2022,2024,207661.37962864706,128843.45241789703,4.970731770174218,25.03697616528121,1.2857142857142858,1.0
expenditure_total_expenditure_financing_expenses,Expenditure,total_expenditure,14,3,5,2022,2024,14346.71952378048,9412.116776538644,1.7108609183554402,7.626479293280947,1.2857142857142858,1.0
expenditure_total_expenditure_grants,Expenditure,total_expenditure,14,3,5,2022,2024,1882.0248551402133,1864.2792638887154,1.0873651840621734,4.944533006323682,1.2857142857142858,1.0
expenditure_total_expenditure_non_financial_assets_capex,Expenditure,total_expenditure,14,3,5,2022,2024,64277.99527220734,49774.658094156206,1.565621860932085,6.685943676726887,1.2857142857142858,1.0
expenditure_total_expenditure_other_expenses,Expenditure,total_expenditure,14,3,5,2022,2024,42090.37782877901,26733.321510857797,1.4979525935779134,5.849195218753195,1.2857142857142858,1.0
expenditure_total_expenditure_social_benefits,Expenditure,total_expenditure,14,3,5,2022,2024,36394.03214679668,23132.926117680385,0.9650491789561906,4.027438023414845,1.2857142857142858,1.0
expenditure_total_expenditure_subsidies,Expenditure,total_expenditure,14,3,5,2022,2024,10168.650252351612,5913.840828375739,1.1510817198164864,3.563582649514254,1.2857142857142858,1.0
expenditure_total_expenditure_unknown,Expenditure,total_expenditure,14,3,5,2022,2024,147437.27393387276,44065.76342357649,0.9356726135272978,3.3464302666821975,2.2857142857142856,1.0
expenditure_total_expenditure_unlabeled_row,Expenditure,total_expenditure,14,3,5,2022,2024,1388.9430272108843,327.10159903531,0.8896760668940955,2.5090636800210513,1.7857142857142858,1.0
expenditure_total_expenditure_use_of_goods_and_services,Expenditure,total_expenditure,14,3,5,2022,2024,107998.47997908112,81905.91553772509,2.152937221886481,9.29683571182722,1.2857142857142858,1.0
non_oil_revenue_non_oil_revenue_non_oil_revenues,Non-oil revenue,non_oil_revenue,14,3,5,2022,2024,118916.98566314545,65404.511357156654,0.6920879399337394,1.906349020506834,1.6428571428571428,1.0
oil_revenue_oil_revenue_oil_revenues,Oil revenue,oil_revenue,14,3,5,2022,2024,198968.42527107694,103483.93827639616,1.7430589750168377,5.909327495061568,1.6428571428571428,1.0
revenue_total_revenue_other_revenues,Revenue,total_revenue,14,3,5,2022,2024,26052.255628254312,14451.461288950304,0.6996901199643133,1.7022306770799733,1.6428571428571428,1.0
revenue_total_revenue_other_taxes,Revenue,total_revenue,14,3,5,2022,2024,9301.783299336284,6166.458980296444,0.691683656364137,1.316728163082573,1.6428571428571428,1.0
