panel_observation_id,year,period,period_order,year_period_key,category,normalized_indicator,panel_entity,unit_mode,value_mean,value_median,value_sum,value_min,value_max,value_std,value_count,n_source_files,n_source_sheets,n_value_columns,n_raw_labels,value_winsorized,value_lag_1,value_lag_2,value_lag_4,value_change_lag_1,value_change_lag_2,value_change_lag_4,value_pct_change_lag_1,value_pct_change_lag_2,value_pct_change_lag_4,value_rolling_mean_2,value_rolling_std_2,value_rolling_mean_4,value_rolling_std_4,value_robust_z_by_entity,value_abs_robust_z_by_entity,value_minmax_by_entity,value_robust_z_by_period,is_core_indicator,is_revenue_related,is_expenditure_related,is_debt_related,is_surplus_deficit_related
2022__q1__debt_domestic_debt_amortization_of_government_bonds,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,-0.6744999999999999,1,0,0,1,0
2022__end_year_annual__debt_domestic_debt_amortization_of_government_bonds,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6745,1,0,0,1,0
2023__q1__debt_domestic_debt_amortization_of_government_bonds,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6745,1,0,0,1,0
2023__q3__debt_domestic_debt_amortization_of_government_bonds,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7085621901231662,1,0,0,1,0
2023__q4__debt_domestic_debt_amortization_of_government_bonds,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6959757742164637,1,0,0,1,0
2023__end_year_annual__debt_domestic_debt_amortization_of_government_bonds,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6745023759511627,1,0,0,1,0
2024__q4__debt_domestic_debt_amortization_of_government_bonds,2024,Q4,4,2024__q4,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6745012737034431,1,0,0,1,0
2022__q1__debt_domestic_debt_beginning_of_period_balance,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,938010.0,938010.0,938010.0,938010.0,938010.0,,1,1,1,1,1,938010.0,,,,,,,,,,938010.0,,938010.0,,-1.349,1.349,0.0,51.049935928347644,1,0,0,1,0
2022__end_year_annual__debt_domestic_debt_beginning_of_period_balance,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,938010.0,938010.0,938010.0,938010.0,938010.0,,1,1,1,1,1,938010.0,938010.0,,,0.0,,,0.0,,,938010.0,0.0,938010.0,0.0,-1.349,1.349,0.0,25.949711284281403,1,0,0,1,0
2023__q1__debt_domestic_debt_beginning_of_period_balance,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,990084.0,990084.0,990084.0,990084.0,990084.0,,1,1,1,1,1,990084.0,938010.0,938010.0,,52074.0,52074.0,,0.0555153996226053,0.0555153996226053,,964047.0,36821.878523508276,955368.0,30064.93791778057,0.0,0.0,0.46381843166900305,54.01588875994541,1,0,0,1,0
