file_name,relative_path,absolute_path,extension,file_role_guess,year_guess,period_guess,size_bytes,modified_time,sha256
2017__525107f198__2017_Report.pdf,MoF_Web_Crawl\2017__525107f198__2017_Report.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2017__525107f198__2017_Report.pdf,.pdf,unknown,2017.0,,626841,2026-06-14T06:36:02,b39eb3d71362065d7cd756762415a62f3034cb6b8c2b4952846b79506c10d8cc
2017__bc14930962__2017_Report.pdf,MoF_Web_Crawl\2017__bc14930962__2017_Report.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2017__bc14930962__2017_Report.pdf,.pdf,unknown,2017.0,,626841,2026-06-14T06:36:01,b39eb3d71362065d7cd756762415a62f3034cb6b8c2b4952846b79506c10d8cc
2017__Q2__eaeec7cca1__Q2_English.pdf,MoF_Web_Crawl\2017__Q2__eaeec7cca1__Q2_English.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2017__Q2__eaeec7cca1__Q2_English.pdf,.pdf,unknown,2017.0,,569282,2026-06-14T06:36:06,335805fc8b8fa0f552f1c2a856f55192aa690a4d707d5fcc857b702bf6d6f333
2018__2dfae27e06__Q3E2018_oct29_.pdf,MoF_Web_Crawl\2018__2dfae27e06__Q3E2018_oct29_.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2018__2dfae27e06__Q3E2018_oct29_.pdf,.pdf,unknown,2018.0,,592911,2026-06-14T06:36:07,43d0c7b3b68b4700421f584d83509a9bcd93b132f250bfa13fa395b0ccbb5c6d
2018__542244d8f9__Q3E2018_3_infographic_ND.PDF,MoF_Web_Crawl\2018__542244d8f9__Q3E2018_3_infographic_ND.PDF,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2018__542244d8f9__Q3E2018_3_infographic_ND.PDF,.pdf,infographic_or_visual_summary,2018.0,,227604,2026-06-14T06:35:57,9e053bb51ef246695ec3828a9805a989e931a89c73dba1c2cd244d0877ca38f6
2018__6ee7657f4b__Q2E2018_report.pdf,MoF_Web_Crawl\2018__6ee7657f4b__Q2E2018_report.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2018__6ee7657f4b__Q2E2018_report.pdf,.pdf,unknown,2018.0,,506878,2026-06-14T06:35:59,57c12d78b48e29ce257c0ed807a3f9374391307337f43af48bfd0c98d063676b
2018__735f2fc85d__Q3E2018_oct29_.pdf,MoF_Web_Crawl\2018__735f2fc85d__Q3E2018_oct29_.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2018__735f2fc85d__Q3E2018_oct29_.pdf,.pdf,unknown,2018.0,,592911,2026-06-14T06:35:58,43d0c7b3b68b4700421f584d83509a9bcd93b132f250bfa13fa395b0ccbb5c6d
2018__a7de64d637__2018_Q1_E_Finaincial_Report.pdf,MoF_Web_Crawl\2018__a7de64d637__2018_Q1_E_Finaincial_Report.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2018__a7de64d637__2018_Q1_E_Finaincial_Report.pdf,.pdf,unknown,2018.0,,543405,2026-06-14T06:36:00,8fde9b17601190bd6a8f2299d8dd7d286e337f1fa2fbfc08fdec697ac3fde644
2019__113406ae35__E.pdf,MoF_Web_Crawl\2019__113406ae35__E.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2019__113406ae35__E.pdf,.pdf,unknown,2019.0,,749885,2026-06-14T06:35:50,9681c510acf5edc2cb283a2570af19be1c7b977c0ed944a81922087a76c9d543
2019__98551b8efd__info.pdf,MoF_Web_Crawl\2019__98551b8efd__info.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2019__98551b8efd__info.pdf,.pdf,infographic_or_visual_summary,2019.0,,5881916,2026-06-14T06:35:55,5d43e4585ab6a2dff2c00570d4b0ce0a832eff90ea08e7e35d16b34dd13b354d
2019__f3730f835f__Q1E-201.pdf,MoF_Web_Crawl\2019__f3730f835f__Q1E-201.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2019__f3730f835f__Q1E-201.pdf,.pdf,unknown,2019.0,,506925,2026-06-14T06:35:49,317c053119950e786e7bcf6fc39412dcf2405b9eb8bdac1cb82b808f7ea0b498
2019__Q2__0b2a3b4342__Q2_E_2019_Info2.pdf,MoF_Web_Crawl\2019__Q2__0b2a3b4342__Q2_E_2019_Info2.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2019__Q2__0b2a3b4342__Q2_E_2019_Info2.pdf,.pdf,infographic_or_visual_summary,2019.0,,307615,2026-06-14T06:35:52,187138cff284b1c44735096f2bed606ec8c6cf9793ad19d8e22285b02a49e99d
2019__Q2__30e37b3587__Q2_E_2019.pdf,MoF_Web_Crawl\2019__Q2__30e37b3587__Q2_E_2019.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2019__Q2__30e37b3587__Q2_E_2019.pdf,.pdf,unknown,2019.0,,583855,2026-06-14T06:35:51,506ef7d8b5476ed5df0d64cbde1d265460f48d70e23f6614a2821d293df8e75a
2019__Q3__776e6708e2__Q3_E_2019.pdf,MoF_Web_Crawl\2019__Q3__776e6708e2__Q3_E_2019.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2019__Q3__776e6708e2__Q3_E_2019.pdf,.pdf,unknown,2019.0,,613883,2026-06-14T06:35:53,c906a75123e0b3a58e8fb34dbc8257be0e0112bfd172e27d408a96dd28c9887a
2019__Q4__cbd98d8001__Q4_E_2019.pdf,MoF_Web_Crawl\2019__Q4__cbd98d8001__Q4_E_2019.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2019__Q4__cbd98d8001__Q4_E_2019.pdf,.pdf,unknown,2019.0,,1428309,2026-06-14T06:35:56,813891c88d3088bc789b0c30f50d7eced1ed1abc5f4ecdc3fb90c36005056d9d
2020__90ad7968b3__Q2E2020.pdf,MoF_Web_Crawl\2020__90ad7968b3__Q2E2020.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2020__90ad7968b3__Q2E2020.pdf,.pdf,unknown,2020.0,,908602,2026-06-14T06:35:47,5995b34a8179be4efb86f5eacde028181ae6b08391fc59beae0b657a3c28e262
2020__dbd4540a4e__Q1_E_2020.pdf,MoF_Web_Crawl\2020__dbd4540a4e__Q1_E_2020.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2020__dbd4540a4e__Q1_E_2020.pdf,.pdf,unknown,2020.0,,946017,2026-06-14T06:35:48,80f3379e1aec098eee7c4c632501332ff707d211e6a91f53c47f53aa44370266
2020__Q3__f93bd3568b__Q3_E_2020.pdf,MoF_Web_Crawl\2020__Q3__f93bd3568b__Q3_E_2020.pdf,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2020__Q3__f93bd3568b__Q3_E_2020.pdf,.pdf,unknown,2020.0,,911464,2026-06-14T06:35:45,98744b60a5b4407eaf8655f28295376dc15b5c0fcbc2c74bbd5f88f879b6c4a8
