metric,n,mean,std,min,q25,median,q75,max
fiscal_risk_score_0_100,16,11.329711943787949,9.411721326795568,0.0,3.404615516566296,6.3021895323038475,20.332874866828153,25.53293343199559
traceability_index_0_1,16,0.4470588235294118,0.22945826577486944,0.0,0.3316176470588235,0.46029411764705885,0.6257352941176471,0.75
interpretability_score_0_1,16,0.917774946425938,0.028072284365966996,0.8515151515151514,0.9139969829105002,0.9242424242424242,0.9288427033492822,0.9542900919305413
interpretability_score_1_5,16,4.671099785703753,0.11228913746386798,4.406060606060606,4.655987931642001,4.696969696969697,4.715370813397128,4.817160367722165
governance_alignment_index_0_1,16,0.7500447606608429,0.09927232550338023,0.548030303030303,0.7055840546152856,0.7577350713012477,0.8185027676289646,0.8819696969696971
decision_usability_score_0_1,16,0.8843929042643373,0.09042441727474049,0.5692121212121212,0.8822336218461142,0.903094028520499,0.9274011070515858,0.9527878787878789
decision_usability_score_1_5,16,4.537571617057349,0.36169766909896195,3.2768484848484847,4.528934487384457,4.6123761140819965,4.709604428206344,4.811151515151515
risk_signal_completeness_0_1,16,1.0,0.0,1.0,1.0,1.0,1.0,1.0
temporal_comparability_0_1,16,0.9375,0.25,0.0,1.0,1.0,1.0,1.0
temporal_consistency,16,0.6742460768482256,,,,,,
