analysis_set,model,metric,mean,ci_lower_2_5,ci_upper_97_5,n_bootstrap
leakage_safe,conventional_statistical_baseline,accuracy,0.8067935483870967,0.7354838709677419,0.864516129032258,1000
leakage_safe,conventional_statistical_baseline,balanced_accuracy,0.7730420301767154,0.6888606485179153,0.8455358408021116,1000
leakage_safe,conventional_statistical_baseline,precision,0.6599398620013133,0.5198205128205129,0.7894736842105263,1000
leakage_safe,conventional_statistical_baseline,recall,0.6922634343335394,0.5476190476190477,0.8222222222222222,1000
leakage_safe,conventional_statistical_baseline,f1,0.673302767862049,0.5454545454545454,0.7778023598820059,1000
leakage_safe,conventional_statistical_baseline,mcc,0.5382361987707487,0.3739336715217127,0.6766854882537774,1000
leakage_safe,conventional_statistical_baseline,roc_auc,0.8560211992590524,0.7780182513256875,0.9182619645337037,1000
leakage_safe,conventional_statistical_baseline,average_precision,0.7516515069344852,0.6124134528107884,0.8603120522202663,1000
leakage_safe,governance_centered_ai_model,accuracy,0.9038774193548388,0.8516129032258064,0.9483870967741935,1000
leakage_safe,governance_centered_ai_model,balanced_accuracy,0.8864176965080808,0.8276148255813954,0.93908264967587,1000
leakage_safe,governance_centered_ai_model,precision,0.8286432861281,0.7021276595744681,0.926829268292683,1000
leakage_safe,governance_centered_ai_model,recall,0.844588090056998,0.7305851063829787,0.9423076923076923,1000
leakage_safe,governance_centered_ai_model,f1,0.8349049383696951,0.7407407407407407,0.9090909090909091,1000
leakage_safe,governance_centered_ai_model,mcc,0.7682864870004276,0.6491447487371361,0.8678568101570256,1000
leakage_safe,governance_centered_ai_model,roc_auc,0.9519052011053425,0.9149476496954372,0.9787020770207111,1000
leakage_safe,governance_centered_ai_model,average_precision,0.8798051293558272,0.7785660894096338,0.952178385410842,1000
leakage_safe,standalone_ai_model,accuracy,0.9045161290322581,0.8516129032258064,0.9483870967741935,1000
leakage_safe,standalone_ai_model,balanced_accuracy,0.887352932301838,0.8265838159382963,0.9442674335503255,1000
leakage_safe,standalone_ai_model,precision,0.828260746494934,0.7045454545454546,0.9285714285714286,1000
leakage_safe,standalone_ai_model,recall,0.8465486270402371,0.7332432432432432,0.9433962264150944,1000
leakage_safe,standalone_ai_model,f1,0.8358249173392369,0.75,0.9111181434599156,1000
leakage_safe,standalone_ai_model,mcc,0.7695866483278381,0.6531756871067212,0.8772640438571704,1000
leakage_safe,standalone_ai_model,roc_auc,0.9523086328576703,0.9183620284723226,0.9815031152647975,1000
leakage_safe,standalone_ai_model,average_precision,0.8809043823936055,0.7867286661040666,0.9570003192354012,1000
