row_index,source_file,sheet_name,label,value_column,old_period,new_period,resolution_method
739,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,Unlabeled row,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
740,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,Unlabeled row,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
741,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,Unlabeled row,الدين العام,Unknown,الدين العام,inferred_from_value_column
742,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,Unlabeled row,Public Debt,Unknown,Public Debt,inferred_from_value_column
743,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,Unlabeled row,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
744,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,Unlabeled row,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
745,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,Unlabeled row,الدين العام,Unknown,الدين العام,inferred_from_value_column
746,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,Unlabeled row,Public Debt,Unknown,Public Debt,inferred_from_value_column
747,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,Unlabeled row,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
748,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,Unlabeled row,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
749,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,Unlabeled row,الدين العام,Unknown,الدين العام,inferred_from_value_column
750,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,Unlabeled row,Public Debt,Unknown,Public Debt,inferred_from_value_column
751,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,إطفاء سندات حكومية | Amortization of Government Bonds,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
752,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,إطفاء سندات حكومية | Amortization of Government Bonds,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
753,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,إطفاء سندات حكومية | Amortization of Government Bonds,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
754,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,إطفاء سندات حكومية | Amortization of Government Bonds,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
755,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,إطفاء سندات حكومية | Amortization of Government Bonds,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
756,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,إطفاء سندات حكومية | Amortization of Government Bonds,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
757,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,الإصدارات أو الاقتراض | Issuances or Borrowings,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
758,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,الإصدارات أو الاقتراض | Issuances or Borrowings,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
759,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,الإصدارات أو الاقتراض | Issuances or Borrowings,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
760,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,الإصدارات أو الاقتراض | Issuances or Borrowings,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
761,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,الإصدارات أو الاقتراض | Issuances or Borrowings,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
762,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,الإصدارات أو الاقتراض | Issuances or Borrowings,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
763,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
764,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
765,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
766,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
767,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
768,2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Debt,الرصيد آخر الفترة | End of Period Balance,الدين الخارجي External Debt,Unknown,الدين الخارجي External Debt,inferred_from_value_column
769,2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,الرصيد أول الفترة | Beginning of Period Balance,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
770,2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Debt,الرصيد أول الفترة | Beginning of Period Balance,الدين الداخلي Domestic Debt,Unknown,الدين الداخلي Domestic Debt,inferred_from_value_column
