feature_name,role,numeric,non_missing_count,missing_count,mean,std,min,max,description
observation_id,identifier,False,48,0,,,,,Unique observation key defined as fiscal year plus reporting period.
year,identifier,True,48,0,2022.9166666666667,0.8711287208139509,2021.0,2024.0,Fiscal year.
period,identifier,False,48,0,,,,,Fiscal reporting period.
period_order,identifier,True,48,0,61.041666666666664,41.39532213952998,1.0,90.0,Numeric ordering of reporting periods.
n_long_records,provenance_count,True,48,0,53.75,55.5308999662695,1.0,210.0,Count describing data coverage or extraction provenance for this observation.
n_unique_labels,provenance_count,True,48,0,28.833333333333332,23.97013508277592,1.0,75.0,Count describing data coverage or extraction provenance for this observation.
n_source_files,provenance_count,True,48,0,2.0625,1.039767772763032,1.0,5.0,Count describing data coverage or extraction provenance for this observation.
n_source_sheets,provenance_count,True,48,0,2.2708333333333335,1.6339429315450706,1.0,7.0,Count describing data coverage or extraction provenance for this observation.
n_categories,provenance_count,True,48,0,3.2708333333333335,2.2478318947266396,1.0,7.0,Count describing data coverage or extraction provenance for this observation.
n_indicators,provenance_count,True,48,0,2.2708333333333335,1.3642796140264746,1.0,5.0,Count describing data coverage or extraction provenance for this observation.
debt_public_debt__value_mean,feature_mean,True,16,32,168305.395493613,146544.2922019547,1443.0,435745.7712004964,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
expenditure_total_expenditure__value_mean,feature_mean,True,31,17,151542.21239787474,277188.6888422363,0.03775309900601796,1312860.0,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
non_oil_revenue_total_revenue__value_mean,feature_mean,True,24,24,143094.6517409504,84690.57912677023,0.068890430578114,436463.742786121,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
oil_revenue_total_revenue__value_mean,feature_mean,True,24,24,242413.88676155164,138837.50436408172,-0.16141760081677556,671200.6890717484,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
other_other__value_mean,feature_mean,True,15,33,66406.76091330996,91251.53487161697,0.0,242648.34347063873,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
other_total_revenue__value_mean,feature_mean,True,1,47,3.5,,3.5,3.5,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
revenue_total_revenue__value_mean,feature_mean,True,26,22,161953.4858032449,273978.40685145726,0.16084521864508858,1215547.5,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
surplus_deficit_surplus_deficit__value_mean,feature_mean,True,21,27,-627.5499729187349,57167.93596294079,-107191.5,126698.0,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
debt_public_debt__value_median,feature_median,True,16,32,76812.2682323975,107781.58783778061,1443.0,406043.150391615,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
expenditure_total_expenditure__value_median,feature_median,True,31,17,89502.1673962293,289761.4336058552,0.04748365905843405,1312860.0,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
non_oil_revenue_total_revenue__value_median,feature_median,True,24,24,102113.00983455888,90434.25853434736,0.068890430578114,436463.742786121,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
oil_revenue_total_revenue__value_median,feature_median,True,24,24,172042.25159568805,142830.62449268618,-0.2378811919162123,671200.6890717484,Aggregated fiscal indicator feature derived from standardized MoF long-format records.
