observation_id,year,period,period_order,n_long_records,n_unique_labels,n_source_files,n_source_sheets,n_categories,n_indicators,debt_public_debt__value_mean,expenditure_total_expenditure__value_mean,non_oil_revenue_total_revenue__value_mean,oil_revenue_total_revenue__value_mean,other_other__value_mean,other_total_revenue__value_mean,revenue_total_revenue__value_mean,surplus_deficit_surplus_deficit__value_mean,debt_public_debt__value_median,expenditure_total_expenditure__value_median,non_oil_revenue_total_revenue__value_median,oil_revenue_total_revenue__value_median,other_other__value_median,other_total_revenue__value_median,revenue_total_revenue__value_median,surplus_deficit_surplus_deficit__value_median,debt_public_debt__value_sum,expenditure_total_expenditure__value_sum,non_oil_revenue_total_revenue__value_sum,oil_revenue_total_revenue__value_sum,other_other__value_sum,other_total_revenue__value_sum,revenue_total_revenue__value_sum,surplus_deficit_surplus_deficit__value_sum,debt_public_debt__value_count,expenditure_total_expenditure__value_count,non_oil_revenue_total_revenue__value_count,oil_revenue_total_revenue__value_count,other_other__value_count,other_total_revenue__value_count,revenue_total_revenue__value_count,surplus_deficit_surplus_deficit__value_count,debt_public_debt__source_file_count,expenditure_total_expenditure__source_file_count,non_oil_revenue_total_revenue__source_file_count,oil_revenue_total_revenue__source_file_count,other_other__source_file_count,other_total_revenue__source_file_count,revenue_total_revenue__source_file_count,surplus_deficit_surplus_deficit__source_file_count,debt_public_debt__sheet_count,expenditure_total_expenditure__sheet_count,non_oil_revenue_total_revenue__sheet_count,oil_revenue_total_revenue__sheet_count,other_other__sheet_count,other_total_revenue__sheet_count,revenue_total_revenue__sheet_count,surplus_deficit_surplus_deficit__sheet_count,category__debt__category_value_mean,category__expenditure__category_value_mean,category__non_oil_revenue__category_value_mean,category__oil_revenue__category_value_mean,category__other__category_value_mean,category__revenue__category_value_mean,category__surplus_deficit__category_value_mean,category__debt__category_value_sum,category__expenditure__category_value_sum,category__non_oil_revenue__category_value_sum,category__oil_revenue__category_value_sum,category__other__category_value_sum,category__revenue__category_value_sum,category__surplus_deficit__category_value_sum,category__debt__category_value_count,category__expenditure__category_value_count,category__non_oil_revenue__category_value_count,category__oil_revenue__category_value_count,category__other__category_value_count,category__revenue__category_value_count,category__surplus_deficit__category_value_count
2021__end_year_annual,2021,End-Year/Annual,5,6,3,1,1,3,3,,1014466.5,,,,,907275.0,-107191.5,,1014466.5,,,,,907275.0,-107191.5,,2028933.0,,,,,1814550.0,-214383.0,,2.0,,,,,2.0,2.0,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,1014466.5,,,,907275.0,-107191.5,,2028933.0,,,,1814550.0,-214383.0,,2.0,,,,2.0,2.0
2022__q1,2022,Q1,1,86,47,4,5,6,4,,48561.98371399068,94259.89162156,183698.755811325,0.0,,53462.934150634996,16426.0,,12670.46,94259.89162156,183698.755811325,0.0,,5064.22321262,0.0,,3156528.941409394,94259.89162156,183698.755811325,0.0,,374240.539054445,114982.0,,65.0,1.0,1.0,5.0,,7.0,7.0,,4.0,1.0,1.0,1.0,,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,3.0,,48561.98371399068,94259.89162156,183698.755811325,0.0,53462.934150634996,16426.0,,3156528.941409394,94259.89162156,183698.755811325,0.0,374240.539054445,114982.0,,65.0,1.0,1.0,5.0,7.0,7.0
2022__q2,2022,Q2,2,97,57,2,4,6,4,,81435.22889944095,171651.33333333334,265013.3333333333,0.0,,87094.85714285714,77907.0,,20240.339100580004,120001.0,250364.0,0.0,,18313.0,77907.0,,5130419.42066478,514954.0,795040.0,0.0,,1828992.0,155814.0,,63.0,3.0,3.0,5.0,,21.0,2.0,,2.0,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,81435.22889944095,171651.33333333334,265013.3333333333,0.0,87094.85714285714,77907.0,,5130419.42066478,514954.0,795040.0,0.0,1828992.0,155814.0,,63.0,3.0,3.0,5.0,21.0,2.0
2022__q3,2022,Q3,3,132,63,2,4,6,4,,102775.22011216907,168780.66666666666,346306.1666666667,0.0,,100226.29268292683,14143.0,,28848.0,88296.5,229023.0,0.0,,18617.9,14143.0,,7399815.848076173,1012684.0,2077837.0,0.0,,4109278.0,28286.0,,72.0,6.0,6.0,5.0,,41.0,2.0,,2.0,2.0,2.0,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,102775.22011216907,168780.66666666666,346306.1666666667,0.0,100226.29268292683,14143.0,,7399815.848076173,1012684.0,2077837.0,0.0,4109278.0,28286.0,,72.0,6.0,6.0,5.0,41.0,2.0
2022__q4,2022,Q4,4,69,48,1,3,5,3,,149168.77043973038,219487.66666666666,415214.6666666667,,,122219.86735000143,-45686.0,,52178.0,123786.0,194186.0,,,24481.0,-45686.0,,6115919.588028945,658463.0,1245644.0,,,2566617.21435003,-45686.0,,41.0,3.0,3.0,,,21.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,149168.77043973038,219487.66666666666,415214.6666666667,,122219.86735000143,-45686.0,,6115919.588028945,658463.0,1245644.0,,2566617.21435003,-45686.0,,41.0,3.0,3.0,,21.0,1.0
2022__end_year_annual,2022,End-Year/Annual,5,178,46,3,6,7,5,248625.91666666666,78731.17704596637,109059.68,177550.77333333335,64300.32257415856,,114422.43691351956,109781.29341272986,60002.5,7434.393418080001,117978.5,190438.0,0.0,,10405.0,103854.8802381896,2983511.0,8109311.235734536,654358.08,1065304.6400000001,450102.25801910996,,4691319.913454302,329343.8802381896,12.0,103.0,6.0,6.0,7.0,,41.0,3.0,1.0,3.0,1.0,1.0,1.0,,3.0,3.0,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,248625.91666666666,78731.17704596637,109059.68,177550.77333333335,64300.32257415856,114422.43691351956,109781.29341272986,2983511.0,8109311.235734536,654358.08,1065304.6400000001,450102.25801910996,4691319.913454302,329343.8802381896,12.0,103.0,6.0,6.0,7.0,41.0,3.0
2022__column_2,2022,Column_2,90,33,29,3,3,5,3,,91144.9310899921,0.068890430578114,0.5757837487022137,242648.34347063873,,0.16084521864508858,,,2022.0,0.068890430578114,0.5757837487022137,253759.1869412775,,0.19332352242472906,,,1914043.552889834,0.068890430578114,0.5757837487022137,970593.3738825549,,0.9650713118705314,,,21.0,1.0,1.0,4.0,,6.0,,,1.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,91144.9310899921,0.068890430578114,0.5757837487022137,242648.34347063873,0.16084521864508858,,,1914043.552889834,0.068890430578114,0.5757837487022137,970593.3738825549,0.9650713118705314,,,21.0,1.0,1.0,4.0,6.0,
2022__column_3,2022,Column_3,90,33,30,1,2,4,2,,38518.03798258956,94259.89162156,183698.755811325,,,46780.192381805624,,,12670.46928673,94259.89162156,183698.755811325,,,4588.136932825,,,885914.8735995598,94259.89162156,183698.755811325,,,374241.539054445,,,23.0,1.0,1.0,,,8.0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,,38518.03798258956,94259.89162156,183698.755811325,,46780.192381805624,,,885914.8735995598,94259.89162156,183698.755811325,,374241.539054445,,,23.0,1.0,1.0,,8.0,
2022__column_4,2022,Column_4,90,31,29,1,2,4,2,,20306.336674223938,88184.8026,116576.12027197,,,36870.96568399625,,,1.0,88184.8026,116576.12027197,,,3619.298298805,,,426433.07015870267,88184.8026,116576.12027197,,,294967.72547197,,,21.0,1.0,1.0,,,8.0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,,20306.336674223938,88184.8026,116576.12027197,,36870.96568399625,,,426433.07015870267,88184.8026,116576.12027197,,294967.72547197,,,21.0,1.0,1.0,,8.0,
2022__column_6,2022,Column_6,90,10,10,1,1,1,1,,0.03775309900601796,,,,,,,,0.04748365905843405,,,,,,,,0.3775309900601796,,,,,,,,10.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,0.03775309900601796,,,,,,,0.3775309900601796,,,,,,,10.0,,,,,
