model,metric,original,leakage_safe,difference_leakage_safe_minus_original
conventional_statistical_baseline,roc_auc,0.92989898989899,0.8551515151515151,-0.0747474747474749
conventional_statistical_baseline,average_precision,0.865322886387993,0.7451200131862112,-0.1202028732017818
conventional_statistical_baseline,f1,0.8,0.6739130434782609,-0.12608695652173918
conventional_statistical_baseline,balanced_accuracy,0.8590909090909091,0.7717171717171717,-0.08737373737373744
conventional_statistical_baseline,mcc,0.7181818181818181,0.5366472075232211,-0.181534610658597
standalone_ai_model,roc_auc,0.9806060606060606,0.9513131313131313,-0.02929292929292926
standalone_ai_model,average_precision,0.9576500155529004,0.8766973641490948,-0.08095265140380559
standalone_ai_model,f1,0.8372093023255814,0.8351648351648352,-0.002044467160746244
standalone_ai_model,balanced_accuracy,0.8772727272727273,0.8858585858585859,0.008585858585858586
standalone_ai_model,mcc,0.7765039202707363,0.7667761546320052,-0.009727765638731123
governance_centered_ai_model,roc_auc,0.9804040404040404,0.9513131313131313,-0.029090909090909056
governance_centered_ai_model,average_precision,0.9553865814766966,0.8766973641490948,-0.07868921732760181
governance_centered_ai_model,f1,0.8636363636363636,0.8351648351648352,-0.02847152847152845
governance_centered_ai_model,balanced_accuracy,0.8994949494949496,0.8858585858585859,-0.013636363636363669
governance_centered_ai_model,mcc,0.8100291526203871,0.7667761546320052,-0.04325299798838189
