panel_observation_id,year,period,period_order,year_period_key,category,normalized_indicator,panel_entity,unit_mode,value_mean,value_median,value_sum,value_min,value_max,value_std,value_count,n_source_files,n_source_sheets,n_value_columns,n_raw_labels,value_winsorized,value_lag_1,value_lag_2,value_lag_4,value_change_lag_1,value_change_lag_2,value_change_lag_4,value_pct_change_lag_1,value_pct_change_lag_2,value_pct_change_lag_4,value_rolling_mean_2,value_rolling_std_2,value_rolling_mean_4,value_rolling_std_4,value_robust_z_by_entity,value_abs_robust_z_by_entity,value_minmax_by_entity,value_robust_z_by_period,is_core_indicator,is_revenue_related,is_expenditure_related,is_debt_related,is_surplus_deficit_related,risk_component_entity_deviation_raw,risk_component_entity_deviation,risk_component_period_deviation_raw,risk_component_period_deviation,risk_component_temporal_change_raw,risk_component_temporal_change,risk_component_rolling_instability_raw,risk_component_rolling_instability,risk_component_source_uncertainty_raw,risk_component_source_uncertainty,panel_fiscal_risk_score_0_100,panel_anomaly_threshold_quantile,panel_anomaly_threshold_value,panel_fiscal_anomaly_label,panel_fiscal_anomaly_label_q60,panel_fiscal_anomaly_label_q70,panel_fiscal_anomaly_label_q80,panel_fiscal_anomaly_label_q90,label_high_entity_deviation,label_high_period_deviation,label_high_temporal_change,label_high_rolling_instability,label_high_source_uncertainty,panel_multi_component_anomaly_label,panel_risk_level,panel_traceability_index_0_1,panel_interpretability_index_0_1,panel_audit_readiness_index_0_1,panel_governance_alignment_index_0_1,panel_risk_signal_completeness_0_1,panel_temporal_support_index_0_1,panel_decision_usability_index_0_1,panel_interpretability_score_1_5,panel_decision_usability_score_1_5
2022__q1__debt_domestic_debt_amortization_of_government_bonds,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,-0.6744999999999999,1,0,0,1,0,0.0,0.0,0.6744999999999999,0.01248706659252757,0.0,0.0,0.0,0.0,1.0,1.0,15.249741331850549,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2022__end_year_annual__debt_domestic_debt_amortization_of_government_bonds,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6745,1,0,0,1,0,0.0,0.0,0.6745,0.012487066592527574,0.0,0.0,0.0,0.0,1.0,1.0,15.249741331850549,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9661016949152542,1.0,0.638135593220339,1.0,0.8571428571428571,0.8304903147699757,4.864406779661017,4.321961259079902
2023__q1__debt_domestic_debt_amortization_of_government_bonds,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6745,1,0,0,1,0,0.0,0.0,0.6745,0.012487066592527574,0.0,0.0,0.0,0.0,1.0,1.0,15.249741331850549,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9745762711864407,1.0,0.6411016949152541,1.0,0.8571428571428571,0.831528450363196,4.898305084745763,4.3261138014527845
2023__q3__debt_domestic_debt_amortization_of_government_bonds,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7085621901231662,1,0,0,1,0,0.0,0.0,0.7085621901231662,0.013117662346946123,0.0,0.0,0.0,0.0,1.0,1.0,15.262353246938924,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9745762711864407,1.0,0.6411016949152541,1.0,0.8571428571428571,0.831528450363196,4.898305084745763,4.3261138014527845
2023__q4__debt_domestic_debt_amortization_of_government_bonds,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6959757742164637,1,0,0,1,0,0.0,0.0,0.6959757742164637,0.01288464913184124,0.0,0.0,0.0,0.0,1.0,1.0,15.257692982636826,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9830508474576272,1.0,0.6440677966101696,1.0,0.8571428571428571,0.8325665859564164,4.932203389830509,4.330266343825666
2023__end_year_annual__debt_domestic_debt_amortization_of_government_bonds,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6745023759511627,1,0,0,1,0,0.0,0.0,0.6745023759511627,0.012487110578680856,0.0,0.0,0.0,0.0,1.0,1.0,15.249742211573617,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9830508474576272,1.0,0.6440677966101696,1.0,0.8571428571428571,0.8325665859564164,4.932203389830509,4.330266343825666
2024__q4__debt_domestic_debt_amortization_of_government_bonds,2024,Q4,4,2024__q4,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,unspecified,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6745012737034431,1,0,0,1,0,0.0,0.0,0.6745012737034431,0.012487090172690233,0.0,0.0,0.0,0.0,1.0,1.0,15.249741803453803,0.75,16.43839004488965,0,0,0,0,0,0,0,0,0,1,0,moderate,0.0,0.9830508474576272,1.0,0.6440677966101696,1.0,0.8571428571428571,0.8325665859564164,4.932203389830509,4.330266343825666
2022__q1__debt_domestic_debt_beginning_of_period_balance,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,938010.0,938010.0,938010.0,938010.0,938010.0,,1,1,1,1,1,938010.0,,,,,,,,,,938010.0,,938010.0,,-1.349,1.349,0.0,51.04993592834765,1,0,0,1,0,1.349,1.919579491432094e-06,51.04993592834765,0.9450911037532143,0.0,0.0,0.0,0.0,1.0,1.0,33.90187966244903,0.75,16.43839004488965,1,1,1,1,1,1,1,0,0,1,1,high,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2022__end_year_annual__debt_domestic_debt_beginning_of_period_balance,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,938010.0,938010.0,938010.0,938010.0,938010.0,,1,1,1,1,1,938010.0,938010.0,,,0.0,,,0.0,,,938010.0,0.0,938010.0,0.0,-1.349,1.349,0.0,25.949711284281403,1,0,0,1,0,1.349,1.919579491432094e-06,25.949711284281403,0.4804088552463841,0.0,0.0,0.0,0.0,1.0,1.0,24.608234692312426,0.75,16.43839004488965,1,1,1,1,1,1,1,0,0,1,1,high,0.0,0.9703389830508474,1.0,0.6396186440677966,1.0,1.0,0.8738665254237288,4.881355932203389,4.495466101694915
2023__q1__debt_domestic_debt_beginning_of_period_balance,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,990084.0,990084.0,990084.0,990084.0,990084.0,,1,1,1,1,1,990084.0,938010.0,938010.0,,52074.0,52074.0,,0.0555153996226053,0.0555153996226053,,964047.0,36821.87852350828,955368.0,30064.93791778057,0.0,0.0,0.463818431669003,54.01588875994541,1,0,0,1,0,0.0,0.0,54.01588875994541,1.0,0.019832298046912215,0.03458224307427,0.040708885562063306,0.040708885562063306,1.0,1.0,36.30227814491635,0.75,16.43839004488965,1,1,1,1,1,0,1,1,1,1,1,high,0.0,0.9830508474576272,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.932203389830509,4.501694915254237
2023__q3__debt_domestic_debt_beginning_of_period_balance,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,990084.0,990084.0,990084.0,990084.0,990084.0,,1,1,1,1,1,990084.0,990084.0,938010.0,,0.0,52074.0,,0.0,0.0555153996226053,,990084.0,0.0,964047.0,30064.93791778057,0.0,0.0,0.463818431669003,15.964002113871391,1,0,0,1,0,0.0,0.0,15.964002113871391,0.29554270938348853,0.0,0.0,0.020876588326679595,0.020876588326679595,1.0,1.0,21.224003012569963,0.75,16.43839004488965,1,1,1,1,1,0,1,0,0,1,1,high,0.0,0.9830508474576272,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.932203389830509,4.501694915254237
2023__q4__debt_domestic_debt_beginning_of_period_balance,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,990084.0,990084.0,990084.0,990084.0,990084.0,,1,1,1,1,1,990084.0,990084.0,990084.0,938010.0,0.0,0.0,52074.0,0.0,0.0,0.0555153996226053,990084.0,0.0,977065.5,26037.0,0.0,0.0,0.463818431669003,9.81456324670952,1,0,0,1,0,0.0,0.0,9.81456324670952,0.1816977091745521,0.0,0.0,0.018079655835254196,0.018079655835254196,1.0,1.0,18.905149021019856,0.75,16.43839004488965,1,1,1,1,0,0,1,0,0,1,1,high,0.0,0.9957627118644068,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.983050847457627,4.507923728813559
2023__end_year_annual__debt_domestic_debt_beginning_of_period_balance,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,990084.0,990084.0,990084.0,990084.0,990084.0,,1,1,1,1,1,990084.0,990084.0,990084.0,938010.0,0.0,0.0,52074.0,0.0,0.0,0.0555153996226053,990084.0,0.0,990084.0,0.0,0.0,0.0,0.463818431669003,8.847877319065748,1,0,0,1,0,0.0,0.0,8.847877319065748,0.16380138367040525,0.0,0.0,0.0,0.0,1.0,1.0,18.276027673408105,0.75,16.43839004488965,1,1,1,1,0,0,1,0,0,1,1,high,0.0,0.9957627118644068,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.983050847457627,4.507923728813559
2024__q3__debt_domestic_debt_beginning_of_period_balance,2024,Q3,3,2024__q3,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,1050282.0,1050282.0,1050282.0,1050282.0,1050282.0,,1,1,1,1,1,990084.0,990084.0,990084.0,990084.0,60198.0,60198.0,60198.0,0.0608009017416704,0.0608009017416704,0.0608009017416704,1020183.0,42566.41401386779,1005133.5,30099.0,1.5594558128816685,1.5594558128816685,0.9999966002293336,14.313452715863749,1,0,0,1,0,1.5594558128816685,2.219050701410093e-06,14.313452715863749,0.26498597069234286,0.022926310159745812,0.03997737573653886,0.043826549735880876,0.043826549735880876,1.0,1.0,21.75673174613689,0.75,16.43839004488965,1,1,1,1,1,1,1,1,1,1,1,high,0.0,0.9957627118644068,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.983050847457627,4.507923728813559
2024__q4__debt_domestic_debt_beginning_of_period_balance,2024,Q4,4,2024__q4,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,unspecified,1050282.38170035,1050282.38170035,1050282.38170035,1050282.38170035,1050282.38170035,,1,1,1,1,1,990084.0,1050282.0,990084.0,990084.0,0.381700349971652,60198.38170034997,60198.38170034997,3.634265368459633e-07,0.0608012872648684,0.0608012872648684,1050282.190850175,0.2699029058462335,1020183.0954250876,34755.44169242633,1.5594657009980435,1.5594657009980435,1.0,8.24923982154219,1,0,0,1,0,1.5594657009980435,2.219064771851459e-06,8.24923982154219,0.15271876499529666,1.4536995568106942e-07,2.5348646592376674e-07,0.024133740799581763,0.024133740799581763,1.0,1.0,18.416453053572134,0.75,16.43839004488965,1,1,1,1,0,1,1,0,0,1,1,high,0.0,0.9957627118644068,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.983050847457627,4.507923728813559
2022__q1__debt_domestic_debt_end_of_period_balance,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,579379.0,579379.0,579379.0,579379.0,579379.0,,1,1,1,1,1,579379.0,,,,,,,,,,579379.0,,579379.0,,-1.7197731658961404,1.7197731658961404,0.0,31.27404208774973,1,0,0,1,0,1.7197731658961404,2.447176648754244e-06,31.27404208774973,0.5789785710411282,0.0,0.0,0.0,0.0,1.0,1.0,26.57964483612203,0.75,16.43839004488965,1,1,1,1,1,1,1,0,0,1,1,high,0.0,0.9491525423728814,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,4.796610169491526,3.6279418886198544
2022__q3__debt_domestic_debt_end_of_period_balance,2022,Q3,3,2022__q3,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,610051.0,610051.0,610051.0,610051.0,610051.0,,1,1,1,1,1,610051.0,579379.0,,,30672.0,,,0.0529394403318035,,,594715.0,21688.379192553784,594715.0,21688.379192553784,-0.5904281454097856,0.5904281454097856,0.1930596361417069,12.11584554715079,1,0,0,1,0,0.5904281454097856,8.401584574447076e-07,12.11584554715079,0.22430151248636115,0.011681381516732882,0.020369216623276645,0.026741427269950657,0.026741427269950657,1.0,1.0,20.29456119599574,0.75,16.43839004488965,1,1,1,1,1,0,1,0,0,1,1,high,0.0,0.9703389830508474,1.0,0.6396186440677966,1.0,1.0,0.8738665254237288,4.881355932203389,4.495466101694915
2022__q4__debt_domestic_debt_end_of_period_balance,2022,Q4,4,2022__q4,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,614956.0,614956.0,614956.0,614956.0,614956.0,,1,1,1,1,1,614956.0,610051.0,579379.0,,4905.0,35577.0,,0.0080403113838023,0.0614054013003578,,612503.5,3468.3587617200155,601462.0,19281.05087903665,-0.4098257286946848,0.4098257286946848,0.2239333162171853,5.894739157831394,1,0,0,1,0,0.4098257286946848,5.831675788462049e-07,5.894739157831394,0.10912972632975615,0.0018680612985370402,0.003257401121687082,0.015256499328063394,0.015256499328063394,1.0,1.0,17.47660753397718,0.75,16.43839004488965,1,1,1,1,0,0,1,0,0,1,1,high,0.0,0.9830508474576272,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.932203389830509,4.501694915254237
2022__end_year_annual__debt_domestic_debt_end_of_period_balance,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,604758.0,604758.0,604758.0,604758.0,604758.0,,1,1,1,1,1,604758.0,614956.0,610051.0,,-10198.0,-5293.0,,-0.0165833002686371,-0.0086763237827657,,609857.0,7211.074954540411,602286.0,15828.935087364533,-0.785316747177987,0.785316747177987,0.1597437567044985,16.49078050645457,1,0,0,1,0,0.785316747177987,1.117478074248352e-06,16.49078050645457,0.3052949953252095,0.003883891766140754,0.006772472298123177,0.014875238400021185,0.014875238400021185,1.0,1.0,21.464511452809198,0.75,16.43839004488965,1,1,1,1,1,0,1,0,0,1,1,high,0.0,0.9830508474576272,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.932203389830509,4.501694915254237
2023__q1__debt_domestic_debt_end_of_period_balance,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,618504.26855091,618504.26855091,618504.26855091,618504.26855091,618504.26855091,,1,1,1,1,1,618504.26855091,604758.0,614956.0,579379.0,13746.268550910056,3548.268550910056,39125.268550910056,0.0227301971216752,0.005769955169004,0.0675296628819996,611631.134275455,9720.079708359875,612067.3171377275,5979.701330173369,-0.2791782515390182,0.2791782515390182,0.2462672832024408,33.49051922739379,1,0,0,1,0,0.2791782515390182,3.97260819946753e-07,33.49051922739379,0.6200123703644053,0.005235244096512238,0.009128870666952851,0.009387448013852363,0.009387448013852363,1.0,1.0,27.723648458659543,0.75,16.43839004488965,1,1,1,1,1,0,1,0,0,1,1,high,0.0,0.9957627118644068,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.983050847457627,4.507923728813559
2023__q2__debt_domestic_debt_end_of_period_balance,2023,Q2,2,2023__q2,Debt,domestic_debt,debt_domestic_debt_end_of_period_balance,unspecified,623536.0,623536.0,623536.0,623536.0,623536.0,,1,1,1,1,1,623536.0,618504.26855091,604758.0,610051.0,5031.731449089944,18778.0,13485.0,0.008135322106796,0.031050436703607,0.0221047092784045,621020.134275455,3557.9714287611127,615438.5671377275,7943.012223326035,-0.0939095746853954,0.0939095746853954,0.2779386526183278,16.09965805835853,1,0,0,1,0,0.0939095746853954,1.3363001750570463e-07,16.09965805835853,0.298054117556184,0.0019163267638315617,0.0033415632318449496,0.007431821029551862,0.007431821029551862,1.0,1.0,21.139394940104385,0.75,16.43839004488965,1,1,1,1,1,0,1,0,0,1,1,high,0.0,0.9957627118644068,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.983050847457627,4.507923728813559
