panel_observation_id,year,period,period_order,year_period_key,category,normalized_indicator,panel_entity,panel_fiscal_risk_score_0_100,panel_fiscal_anomaly_label,panel_multi_component_anomaly_label,panel_risk_level,panel_traceability_index_0_1,panel_interpretability_index_0_1,panel_interpretability_score_1_5,panel_audit_readiness_index_0_1,panel_governance_alignment_index_0_1,panel_risk_signal_completeness_0_1,panel_temporal_support_index_0_1,panel_decision_usability_index_0_1,panel_decision_usability_score_1_5
2022__q1__debt_domestic_debt_amortization_of_government_bonds,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,15.249741331850549,0,0,moderate,0.0,0.9491525423728814,4.796610169491526,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,3.6279418886198544
2022__end_year_annual__debt_domestic_debt_amortization_of_government_bonds,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,15.249741331850549,0,0,moderate,0.0,0.9661016949152542,4.864406779661017,1.0,0.638135593220339,1.0,0.8571428571428571,0.8304903147699757,4.321961259079902
2023__q1__debt_domestic_debt_amortization_of_government_bonds,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,15.249741331850549,0,0,moderate,0.0,0.9745762711864407,4.898305084745763,1.0,0.6411016949152541,1.0,0.8571428571428571,0.831528450363196,4.3261138014527845
2023__q3__debt_domestic_debt_amortization_of_government_bonds,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,15.262353246938924,0,0,moderate,0.0,0.9745762711864407,4.898305084745763,1.0,0.6411016949152541,1.0,0.8571428571428571,0.831528450363196,4.3261138014527845
2023__q4__debt_domestic_debt_amortization_of_government_bonds,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,15.257692982636826,0,0,moderate,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,0.8571428571428571,0.8325665859564164,4.330266343825666
2023__end_year_annual__debt_domestic_debt_amortization_of_government_bonds,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,15.249742211573617,0,0,moderate,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,0.8571428571428571,0.8325665859564164,4.330266343825666
2024__q4__debt_domestic_debt_amortization_of_government_bonds,2024,Q4,4,2024__q4,Debt,domestic_debt,debt_domestic_debt_amortization_of_government_bonds,15.249741803453803,0,0,moderate,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,0.8571428571428571,0.8325665859564164,4.330266343825666
2022__q1__debt_domestic_debt_beginning_of_period_balance,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,33.90187966244903,1,1,high,0.0,0.9491525423728814,4.796610169491526,1.0,0.6322033898305084,1.0,0.2857142857142857,0.6569854721549636,3.6279418886198544
2022__end_year_annual__debt_domestic_debt_beginning_of_period_balance,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,24.608234692312426,1,1,high,0.0,0.9703389830508474,4.881355932203389,1.0,0.6396186440677966,1.0,1.0,0.8738665254237288,4.495466101694915
2023__q1__debt_domestic_debt_beginning_of_period_balance,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,36.30227814491635,1,1,high,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.501694915254237
2023__q3__debt_domestic_debt_beginning_of_period_balance,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,21.224003012569963,1,1,high,0.0,0.9830508474576272,4.932203389830509,1.0,0.6440677966101696,1.0,1.0,0.8754237288135593,4.501694915254237
2023__q4__debt_domestic_debt_beginning_of_period_balance,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,18.905149021019856,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2023__end_year_annual__debt_domestic_debt_beginning_of_period_balance,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,18.276027673408105,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q3__debt_domestic_debt_beginning_of_period_balance,2024,Q3,3,2024__q3,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,21.75673174613689,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
2024__q4__debt_domestic_debt_beginning_of_period_balance,2024,Q4,4,2024__q4,Debt,domestic_debt,debt_domestic_debt_beginning_of_period_balance,18.416453053572134,1,1,high,0.0,0.9957627118644068,4.983050847457627,1.0,0.6485169491525423,1.0,1.0,0.8769809322033897,4.507923728813559
