source_file,source_relative_path,sheet_name,file_year_guess,file_period_guess,raw_rows,raw_columns,cleaned_rows,cleaned_columns,detected_header_row_zero_based,value_columns_detected,label_columns_detected
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,T.CONTENT,2022,,10,2,3,2,4,,الإيرادات المصروفات | Revenues Expenditures
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,INTRODUCTION,2022,,10,16,0,3,1,,
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,GOV.BUD,2022,,9,5,4,5,3,FY 2021 Budget | FY 2021 Actual | FY 2022 Budget,البيان | Items
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Summary,2022,,37,17,1,3,2,(مليون ريال) | Column_2,
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Revenues,2022,,33,5,13,5,13,Column_2 | Column_3 | Column_4,الإيرادات الفعلية للربع الأول من السنة المالية 1443/ 1444هـ (2022م) | Actual revenues in Q1 of FY 2022 Vs. Q1 of FY 2021
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Expenditures,2022,,52,7,29,7,14,Column_2 | Column_3 | Column_4 | Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2021 | Column_6,المصروفات الفعلية للربع الأول من السنة المالية 1443/ 1444هـ (2022م) | Column_7
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Deficit,2022,,16,3,7,3,3,Q1 2022 57491,البيان فائض/(عجز) الفترة | Item Surplus/(Deficit)
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Debt,2022,,16,6,7,6,3,الدين العام | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Public Debt,البيان | Item
2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,MoF_Web_Crawl\2022__8d5715b81d__Quarterly_Budget_Performance_Report_Q1_2021.xlsx,Appendix,2022,,26,4,9,4,5,,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes."
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,T.CONTENT,2022,,11,2,4,2,4,,الإيرادات المصروفات | Revenues Expenditures
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,INTRODUCTION,2022,,10,16,0,3,1,,
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,GOV.BUD,2022,,9,5,4,5,3,FY 2021 Budget | FY 2021 Actual | FY 2022 Budget,البيان | Items
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Summary,2022,,65,17,3,3,2,(مليون ريال) | Column_2 | (SAR Million),
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Revenues,2022,,47,7,35,6,3,الإجمالي | Q3 | Q2,الإيرادات* | Q1 | Revenues*
