year,period,period_order,category,normalized_indicator,n_records,n_labels,n_source_files,n_source_sheets,value_mean,value_median,value_std,value_min,value_max
2021,End-Year/Annual,5,Expenditure,total_expenditure,2,1,1,1,1014466.5,1014466.5,34600.85612380133,990000.0,1038933.0
2021,End-Year/Annual,5,Revenue,total_revenue,2,1,1,1,907275.0,907275.0,82322.78567930024,849064.0,965486.0
2021,End-Year/Annual,5,Surplus/Deficit,surplus_deficit,2,1,1,1,-107191.5,-107191.5,47721.92955549891,-140936.0,-73447.0
2022,Q1,1,Debt,domestic_debt,7,7,2,2,308680.28571428574,52629.0,379594.0779041538,0.0,938010.0
2022,Q1,1,Debt,external_debt,6,6,2,2,126421.0,0.0,195850.57104435514,0.0,379263.0
2022,Q1,1,Debt,public_debt,2,1,1,1,1732.5,1732.5,409.414826307011,1443.0,2022.0
2022,Q1,1,Expenditure,total_expenditure,140,34,4,1,45592.29153991772,7692.379053082506,112096.44960740655,-0.8764031384599635,955000.0
2022,Q1,1,Non-oil revenue,non_oil_revenue,4,2,2,1,69176.16368338764,91222.34711078,46206.230672276324,0.068890430578114,94259.89162156
2022,Q1,1,Oil revenue,oil_revenue,4,2,2,1,120993.55191959218,150137.4380416475,86646.21393301571,0.5757837487022137,183698.755811325
2022,Q1,1,Other,other,3,3,1,1,0.0,0.0,0.0,0.0,0.0
2022,Q1,1,Revenue,total_revenue,29,15,2,1,35981.06098800593,3222.33684211,78091.5077696764,-0.1148916736521055,277958.647432885
2022,Q1,1,Surplus/Deficit,surplus_deficit,7,7,3,3,16426.0,0.0,28052.735546942065,0.0,57491.0
2022,Q2,2,Debt,domestic_debt,1,1,1,1,0.0,0.0,,0.0,0.0
2022,Q2,2,Debt,external_debt,1,1,1,1,0.0,0.0,,0.0,0.0
2022,Q2,2,Expenditure,total_expenditure,63,34,2,1,81435.22889944095,20240.339100580004,168745.48917564505,0.6328553166381888,1038933.0
2022,Q2,2,Non-oil revenue,non_oil_revenue,3,2,1,1,171651.33333333334,120001.0,111441.48540975813,95406.0,299547.0
2022,Q2,2,Oil revenue,oil_revenue,3,2,1,1,265013.3333333333,250364.0,125008.43169295955,147975.0,396701.0
2022,Q2,2,Other,other,3,3,1,1,0.0,0.0,0.0,0.0,0.0
2022,Q2,2,Revenue,total_revenue,21,15,1,1,87094.85714285714,18313.0,169038.65836053176,3.0,696248.0
2022,Q2,2,Surplus/Deficit,surplus_deficit,2,2,2,2,77907.0,77907.0,0.0,77907.0,77907.0
2022,Q3,3,Debt,domestic_debt,5,4,1,2,149040.6,41924.0,260550.2840716164,0.0,610051.0
2022,Q3,3,Debt,external_debt,4,3,1,2,94815.75,8751.0,178154.6475516426,0.0,361761.0
2022,Q3,3,Expenditure,total_expenditure,111,32,2,1,98334.83416255664,27384.0,195178.0190157808,-0.444546660130408,1038933.0
2022,Q3,3,Non-oil revenue,non_oil_revenue,9,3,2,1,144421.08,72845.0,144253.40634659273,-0.24,403295.0
2022,Q3,3,Oil revenue,oil_revenue,9,3,2,1,304547.2466666667,229023.0,261110.07598245892,0.55,663087.0
2022,Q3,3,Other,other,8,4,1,2,63439.796735319374,0.0,122378.23563066754,0.0,317963.70569533
2022,Q3,3,Revenue,total_revenue,58,21,2,1,92182.34672413794,14409.0,219332.6208281664,-0.32,965486.0
2022,Q3,3,Surplus/Deficit,surplus_deficit,3,2,2,2,59275.666666666664,14143.0,78172.07174773695,14143.0,149541.0
2022,Q4,4,Debt,domestic_debt,3,3,1,1,257349.0,106650.0,310969.3517969255,50441.0,614956.0
2022,Q4,4,Debt,external_debt,3,3,1,1,138921.0,22885.0,204571.7103927129,18750.0,375128.0
2022,Q4,4,Expenditure,total_expenditure,68,31,1,1,124185.85055924919,29557.5,252995.94579890126,-0.34,1164309.0
2022,Q4,4,Non-oil revenue,non_oil_revenue,6,2,1,1,178225.76726624675,123786.0,188532.51840246856,0.0188348479400934,410891.39162156
2022,Q4,4,Oil revenue,oil_revenue,6,2,1,1,350486.0756813846,194186.0,402045.67278082087,0.1734002054504804,857272.0
2022,Q4,4,Other,other,2,1,1,1,231537.5,231537.5,122791.21387338753,144711.0,318364.0
2022,Q4,4,Revenue,total_revenue,39,15,1,1,108863.42434715402,6817.0,286401.5410235858,-0.2337570621468926,1268164.0
2022,Q4,4,Surplus/Deficit,surplus_deficit,4,1,1,1,15408.5,1732.5,63059.64072474036,-45686.0,103855.0
2022,End-Year/Annual,5,Debt,domestic_debt,7,7,1,2,317360.0,83008.0,378820.6980322837,0.0,938010.0
2022,End-Year/Annual,5,Debt,external_debt,5,5,1,2,151705.2,17502.0,199965.8881902111,0.0,379263.0
2022,End-Year/Annual,5,Debt,public_debt,2,1,1,1,1732.5,1732.5,409.414826307011,1443.0,2022.0
2022,End-Year/Annual,5,Expenditure,total_expenditure,103,24,3,2,78731.17704596637,7434.393418080001,192986.1400286418,-0.47,1164308.8432161123
2022,End-Year/Annual,5,Non-oil revenue,non_oil_revenue,6,1,1,1,109059.68,117978.5,93875.2859998722,0.03,214260.0
2022,End-Year/Annual,5,Oil revenue,oil_revenue,6,1,1,1,177550.77333333335,190438.0,168092.47655666588,0.75,434063.0
2022,End-Year/Annual,5,Other,other,5,4,1,2,90020.45160382199,0.0,139910.3000688707,0.0,318651.22371911
2022,End-Year/Annual,5,Revenue,total_revenue,41,9,3,2,114422.43691351956,10405.0,275387.81208824285,-0.06,1268163.723454302
2022,End-Year/Annual,5,Surplus/Deficit,surplus_deficit,3,2,3,2,109781.29341272986,103854.8802381896,23228.606288077714,90090.0,135399.0
2023,Q1,1,Debt,domestic_debt,7,7,2,2,320688.6481574029,12412.26855091,412579.06529438257,0.0,990084.0
2023,Q1,1,Debt,external_debt,6,6,2,2,138027.72922387757,53189.0,173628.3697121172,0.0,375128.0
2023,Q1,1,Debt,public_debt,2,1,1,1,1733.5,1733.5,409.414826307011,1444.0,2023.0
2023,Q1,1,Expenditure,total_expenditure,129,34,4,1,54234.03354228525,9061.49341722,134442.72784222852,-0.0230402369008403,1113999.9999999618
2023,Q1,1,Non-oil revenue,non_oil_revenue,4,2,2,1,74734.37671908646,98299.3281973535,49968.2047731064,0.0857084918368307,102338.764773147
2023,Q1,1,Oil revenue,oil_revenue,4,2,2,1,135227.412376245,178605.46071,90183.59393591173,-0.027726345117744,183698.755811325
2023,Q1,1,Other,other,5,4,2,2,90669.85428823461,2910.37534326554,181949.36759471343,0.0,415050.07257003
2023,Q1,1,Revenue,total_revenue,29,15,2,1,39477.784479659655,4120.3888697,85202.72138345813,0.0107410871287352,280944.225483147
2023,Q1,1,Surplus/Deficit,surplus_deficit,6,6,2,2,484.93744278907735,0.0,2190.6847650072855,-2910.375343265536,2910.0
2023,Q2,2,Debt,domestic_debt,5,4,1,2,132030.0,14017.0,274929.3725186525,0.0,623536.0
