feature_name,role,numeric,non_missing_count,missing_count,mean,std,min,max
observation_id,identifier,False,16,0,,,,
year,identifier,True,16,0,2022.875,0.9574271077563381,2021.0,2024.0
period,identifier,False,16,0,,,,
period_order,identifier,True,16,0,3.125,1.5,1.0,5.0
n_long_records,provenance_count,True,16,0,161.25,89.0,6.0,328.0
n_unique_labels,provenance_count,True,16,0,54.5,21.657946963335807,3.0,79.0
n_source_files,provenance_count,True,16,0,2.5625,1.1528949070347507,1.0,5.0
n_source_sheets,provenance_count,True,16,0,4.8125,1.7594980344783944,1.0,7.0
n_categories,provenance_count,True,16,0,6.375,1.408308678285174,3.0,7.0
n_indicators,provenance_count,True,16,0,7.625,2.0615528128088303,3.0,9.0
debt_domestic_debt__value_mean,model_feature_mean,True,13,3,287038.1413159353,133311.33235983818,0.0,514716.4
debt_external_debt__value_mean,model_feature_mean,True,13,3,166651.26206789672,107816.43545604224,0.0,468918.25
debt_public_debt__value_mean,model_feature_mean,True,7,9,1733.357142857143,0.6900655593423543,1732.5,1734.5
expenditure_total_expenditure__value_mean,model_feature_mean,True,16,0,234755.09919547066,368754.983492145,45592.29153991772,1312860.0
non_oil_revenue_non_oil_revenue__value_mean,model_feature_mean,True,14,2,148028.71516184823,38544.51474227729,69176.16368338764,188833.50254700924
oil_revenue_oil_revenue__value_mean,model_feature_mean,True,14,2,249871.22816830061,66559.94656218677,120993.55191959218,350486.0756813846
other_non_oil_revenue__value_mean,model_feature_mean,True,1,15,3.5,,3.5,3.5
other_other__value_mean,model_feature_mean,True,13,3,116656.11979357695,86722.76906115112,0.0,247665.98988277302
revenue_total_revenue__value_mean,model_feature_mean,True,16,0,218750.9284609183,336827.9762595414,35981.06098800593,1215547.5
surplus_deficit_surplus_deficit__value_mean,model_feature_mean,True,16,0,-1159.7028315783855,57937.32844187824,-107191.5,109781.29341272986
debt_domestic_debt__value_median,model_feature_median,True,13,3,131564.3731095677,184695.68933833623,0.0,644405.0
debt_external_debt__value_median,model_feature_median,True,13,3,91708.85576920537,129463.7851049409,0.0,468918.25
debt_public_debt__value_median,model_feature_median,True,7,9,1733.357142857143,0.6900655593423543,1732.5,1734.5
expenditure_total_expenditure__value_median,model_feature_median,True,16,0,162538.6713905508,394707.5734485988,7434.393418080001,1312860.0
non_oil_revenue_non_oil_revenue__value_median,model_feature_median,True,14,2,102181.51106880103,36480.21859907556,0.11,140602.063598188
oil_revenue_oil_revenue__value_median,model_feature_median,True,14,2,178909.19673371254,67754.87406353948,0.2833640672853514,250364.0
other_non_oil_revenue__value_median,model_feature_median,True,1,15,3.5,,3.5,3.5
other_other__value_median,model_feature_median,True,13,3,79775.62575441935,107107.55969047117,0.0,247665.98988277302
revenue_total_revenue__value_median,model_feature_median,True,16,0,141718.92567859407,363469.61540051614,0.3140763351945135,1215547.5
surplus_deficit_surplus_deficit__value_median,model_feature_median,True,16,0,-3804.0901979019636,56618.218205903206,-107191.5,103854.8802381896
debt_domestic_debt__value_sum,model_feature_sum,True,13,3,1757757.4139652534,997279.7191483128,0.0,3112088.0
debt_external_debt__value_sum,model_feature_sum,True,13,3,697460.9157947173,317568.61452229624,0.0,1028435.0
debt_public_debt__value_sum,model_feature_sum,True,7,9,3466.714285714286,1.3801311186847085,3465.0,3469.0
expenditure_total_expenditure__value_sum,model_feature_sum,True,16,0,9053101.650302868,4460778.92714621,2028933.0,17193440.541161746
non_oil_revenue_non_oil_revenue__value_sum,model_feature_sum,True,14,2,991202.7045512132,559282.7031378504,276704.65473355056,2101723.6082163067
oil_revenue_oil_revenue__value_sum,model_feature_sum,True,14,2,1685214.1859322323,949157.3997744165,483974.2076783687,3352382.4567296547
other_non_oil_revenue__value_sum,model_feature_sum,True,1,15,7.0,,7.0,7.0
other_other__value_sum,model_feature_sum,True,13,3,444959.07221638697,240719.42695897043,0.0,968188.719837693
revenue_total_revenue__value_sum,model_feature_sum,True,16,0,3845182.6809244794,1951542.510111381,1043450.7686521718,7563933.629824604
surplus_deficit_surplus_deficit__value_sum,model_feature_sum,True,16,0,22068.567611630402,151297.25547766883,-214383.0,329343.8802381896
debt_domestic_debt__value_count,model_feature_count,True,13,3,5.615384615384615,2.328750077418554,1.0,10.0
debt_external_debt__value_count,model_feature_count,True,13,3,4.461538461538462,1.8536173919925967,1.0,7.0
debt_public_debt__value_count,model_feature_count,True,7,9,2.0,0.0,2.0,2.0
expenditure_total_expenditure__value_count,model_feature_count,True,16,0,94.6875,56.70945688331004,2.0,211.0
non_oil_revenue_non_oil_revenue__value_count,model_feature_count,True,14,2,6.5,3.0064034224404312,3.0,12.0
oil_revenue_oil_revenue__value_count,model_feature_count,True,14,2,6.5,3.0064034224404312,3.0,12.0
other_non_oil_revenue__value_count,model_feature_count,True,1,15,2.0,,2.0,2.0
other_other__value_count,model_feature_count,True,13,3,4.769230769230769,2.8622207623290854,2.0,11.0
revenue_total_revenue__value_count,model_feature_count,True,16,0,38.0,22.65097496062072,2.0,80.0
surplus_deficit_surplus_deficit__value_count,model_feature_count,True,16,0,4.125,2.0936411663256274,2.0,8.0
debt_domestic_debt__source_file_count,feature_traceability,True,13,3,1.3076923076923077,0.48038446141526137,1.0,2.0
debt_external_debt__source_file_count,feature_traceability,True,13,3,1.3076923076923077,0.48038446141526137,1.0,2.0
