observation_id,year,period,period_order,n_long_records,n_unique_labels,n_source_files,n_source_sheets,n_categories,n_indicators,debt_domestic_debt__value_mean,debt_external_debt__value_mean,debt_public_debt__value_mean,expenditure_total_expenditure__value_mean,non_oil_revenue_non_oil_revenue__value_mean,oil_revenue_oil_revenue__value_mean,other_non_oil_revenue__value_mean,other_other__value_mean,revenue_total_revenue__value_mean,surplus_deficit_surplus_deficit__value_mean,debt_domestic_debt__value_median,debt_external_debt__value_median,debt_public_debt__value_median,expenditure_total_expenditure__value_median,non_oil_revenue_non_oil_revenue__value_median,oil_revenue_oil_revenue__value_median,other_non_oil_revenue__value_median,other_other__value_median,revenue_total_revenue__value_median,surplus_deficit_surplus_deficit__value_median,debt_domestic_debt__value_sum,debt_external_debt__value_sum,debt_public_debt__value_sum,expenditure_total_expenditure__value_sum,non_oil_revenue_non_oil_revenue__value_sum,oil_revenue_oil_revenue__value_sum,other_non_oil_revenue__value_sum,other_other__value_sum,revenue_total_revenue__value_sum,surplus_deficit_surplus_deficit__value_sum,debt_domestic_debt__value_count,debt_external_debt__value_count,debt_public_debt__value_count,expenditure_total_expenditure__value_count,non_oil_revenue_non_oil_revenue__value_count,oil_revenue_oil_revenue__value_count,other_non_oil_revenue__value_count,other_other__value_count,revenue_total_revenue__value_count,surplus_deficit_surplus_deficit__value_count,debt_domestic_debt__source_file_count,debt_external_debt__source_file_count,debt_public_debt__source_file_count,expenditure_total_expenditure__source_file_count,non_oil_revenue_non_oil_revenue__source_file_count,oil_revenue_oil_revenue__source_file_count,other_non_oil_revenue__source_file_count,other_other__source_file_count,revenue_total_revenue__source_file_count,surplus_deficit_surplus_deficit__source_file_count,debt_domestic_debt__sheet_count,debt_external_debt__sheet_count,debt_public_debt__sheet_count,expenditure_total_expenditure__sheet_count,non_oil_revenue_non_oil_revenue__sheet_count,oil_revenue_oil_revenue__sheet_count,other_non_oil_revenue__sheet_count,other_other__sheet_count,revenue_total_revenue__sheet_count,surplus_deficit_surplus_deficit__sheet_count
2021__end_year_annual,2021,End-Year/Annual,5,6,3,1,1,3,3,,,,1014466.5,,,,,907275.0,-107191.5,,,,1014466.5,,,,,907275.0,-107191.5,,,,2028933.0,,,,,1814550.0,-214383.0,,,,2.0,,,,,2.0,2.0,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,1.0,1.0
2022__q1,2022,Q1,1,202,62,4,6,7,9,308680.28571428574,126421.0,1732.5,45592.29153991772,69176.16368338764,120993.55191959218,,0.0,35981.06098800593,16426.0,52629.0,0.0,1732.5,7692.379053082506,91222.34711078,150137.4380416475,,0.0,3222.33684211,0.0,2160762.0,758526.0,3465.0,6382920.815588481,276704.65473355056,483974.2076783687,,0.0,1043450.7686521718,114982.0,7.0,6.0,2.0,140.0,4.0,4.0,,3.0,29.0,7.0,2.0,2.0,1.0,4.0,2.0,2.0,,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0
2022__q2,2022,Q2,2,97,57,2,4,7,8,0.0,0.0,,81435.22889944095,171651.33333333334,265013.3333333333,,0.0,87094.85714285714,77907.0,0.0,0.0,,20240.339100580004,120001.0,250364.0,,0.0,18313.0,77907.0,0.0,0.0,,5130419.42066478,514954.0,795040.0,,0.0,1828992.0,155814.0,1.0,1.0,,63.0,3.0,3.0,,3.0,21.0,2.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0
2022__q3,2022,Q3,3,207,67,2,6,7,8,149040.6,94815.75,,98334.83416255664,144421.08,304547.2466666667,,63439.796735319374,92182.34672413794,59275.666666666664,41924.0,8751.0,,27384.0,72845.0,229023.0,,0.0,14409.0,14143.0,745203.0,379263.0,,10915166.592043787,1299789.72,2740925.22,,507518.373882555,5346576.11,177827.0,5.0,4.0,,111.0,9.0,9.0,,8.0,58.0,3.0,1.0,1.0,,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,2.0,,1.0,1.0,1.0,,2.0,1.0,2.0
2022__q4,2022,Q4,4,131,52,1,5,7,8,257349.0,138921.0,,124185.85055924919,178225.76726624675,350486.0756813846,,231537.5,108863.42434715402,15408.5,106650.0,22885.0,,29557.5,123786.0,194186.0,,231537.5,6817.0,1732.5,772047.0,416763.0,,8444637.838028945,1069354.6035974806,2102916.4540883075,,463075.0,4245673.549539007,61634.0,3.0,3.0,,68.0,6.0,6.0,,2.0,39.0,4.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0
2022__end_year_annual,2022,End-Year/Annual,5,178,46,3,6,7,9,317360.0,151705.2,1732.5,78731.17704596637,109059.68,177550.77333333335,,90020.45160382199,114422.43691351956,109781.29341272986,83008.0,17502.0,1732.5,7434.393418080001,117978.5,190438.0,,0.0,10405.0,103854.8802381896,2221520.0,758526.0,3465.0,8109311.235734536,654358.08,1065304.6400000001,,450102.25801910996,4691319.913454302,329343.8802381896,7.0,5.0,2.0,103.0,6.0,6.0,,5.0,41.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,2.0
2023__q1,2023,Q1,1,192,63,5,6,7,9,320688.6481574029,138027.72922387757,1733.5,54234.03354228525,74734.37671908646,135227.412376245,,90669.85428823461,39477.784479659655,484.93744278907735,12412.26855091,53189.0,1733.5,9061.49341722,98299.3281973535,178605.46071,,2910.37534326554,4120.3888697,0.0,2244820.53710182,828166.3753432655,3467.0,6996190.326954798,298937.50687634584,540909.64950498,,453349.27144117304,1144855.74991013,2909.624656734464,7.0,6.0,2.0,129.0,4.0,4.0,,5.0,29.0,6.0,2.0,2.0,1.0,4.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0
2023__q2,2023,Q2,2,262,74,3,5,7,8,132030.0,101715.2750686531,,76925.12917117686,133533.41045704996,254929.00174318082,,59447.49986003069,79695.1888094915,-6724.187671632768,14017.0,60000.0,,13776.67832394,135083.12795419604,229023.0,,2634.5,16680.38199858,-6724.187671632768,660150.0,508576.37534326554,,12692646.313244183,1201800.6941134497,2294361.0156886275,,475579.99888024555,4702016.139759999,-13448.375343265536,5.0,5.0,,165.0,9.0,9.0,,8.0,59.0,2.0,1.0,1.0,,3.0,2.0,2.0,,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,,2.0,1.0,1.0
2023__q3,2023,Q3,3,282,70,3,6,7,9,311208.8,141990.0604304133,1733.5,109322.24943498886,159678.61926349901,250710.4832117208,,88017.15634888118,88920.72665009783,-41224.666666666664,69284.0,60000.0,1733.5,19350.825449305,111533.34581111991,147005.7622218185,,14511.0,8210.0,-43951.0,3112088.0,993930.423012893,3467.0,16179692.91637835,1916143.4311619883,3008525.7985406495,,968188.719837693,6846895.952057533,-123674.0,10.0,7.0,2.0,148.0,12.0,12.0,,11.0,77.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0
2023__q4,2023,Q4,4,152,60,2,6,7,9,345272.50340282294,171405.83333333334,1733.5,148351.15399449418,188833.50254700924,334591.0020749592,,92375.90700951144,109682.03381817356,-58970.8901500178,87982.51632691,85690.5,1733.5,37789.20368825,108772.59600847703,249211.041478688,,41638.562570725015,6559.566488010001,-58970.8901500178,2416907.5238197604,1028435.0,3467.0,11571390.011570545,1133001.0152820554,2007546.0124497553,,554255.4420570687,4277599.318908769,-117941.7803000356,7.0,6.0,2.0,78.0,6.0,6.0,,6.0,39.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0
