model,feature
conventional_statistical_baseline,period_order
conventional_statistical_baseline,value_change_lag_1
conventional_statistical_baseline,value_change_lag_2
conventional_statistical_baseline,value_change_lag_4
conventional_statistical_baseline,value_count
conventional_statistical_baseline,value_lag_1
conventional_statistical_baseline,value_lag_2
conventional_statistical_baseline,value_lag_4
conventional_statistical_baseline,value_max
conventional_statistical_baseline,value_mean
conventional_statistical_baseline,value_median
conventional_statistical_baseline,value_min
conventional_statistical_baseline,value_minmax_by_entity
conventional_statistical_baseline,value_pct_change_lag_1
conventional_statistical_baseline,value_pct_change_lag_2
conventional_statistical_baseline,value_pct_change_lag_4
conventional_statistical_baseline,value_rolling_mean_2
conventional_statistical_baseline,value_rolling_mean_4
conventional_statistical_baseline,value_rolling_std_2
conventional_statistical_baseline,value_rolling_std_4
conventional_statistical_baseline,value_std
conventional_statistical_baseline,value_sum
conventional_statistical_baseline,value_winsorized
conventional_statistical_baseline,year
standalone_ai_model,is_core_indicator
standalone_ai_model,is_debt_related
standalone_ai_model,is_expenditure_related
standalone_ai_model,is_revenue_related
standalone_ai_model,is_surplus_deficit_related
standalone_ai_model,n_raw_labels
standalone_ai_model,n_source_files
standalone_ai_model,n_source_sheets
standalone_ai_model,n_value_columns
standalone_ai_model,period_order
standalone_ai_model,value_abs_robust_z_by_entity
standalone_ai_model,value_change_lag_1
standalone_ai_model,value_change_lag_2
standalone_ai_model,value_change_lag_4
standalone_ai_model,value_count
standalone_ai_model,value_lag_1
standalone_ai_model,value_lag_2
standalone_ai_model,value_lag_4
standalone_ai_model,value_max
standalone_ai_model,value_mean
standalone_ai_model,value_median
standalone_ai_model,value_min
standalone_ai_model,value_minmax_by_entity
standalone_ai_model,value_pct_change_lag_1
standalone_ai_model,value_pct_change_lag_2
standalone_ai_model,value_pct_change_lag_4
standalone_ai_model,value_robust_z_by_entity
standalone_ai_model,value_robust_z_by_period
standalone_ai_model,value_rolling_mean_2
standalone_ai_model,value_rolling_mean_4
standalone_ai_model,value_rolling_std_2
standalone_ai_model,value_rolling_std_4
standalone_ai_model,value_std
standalone_ai_model,value_sum
standalone_ai_model,value_winsorized
standalone_ai_model,year
governance_centered_ai_model,is_core_indicator
governance_centered_ai_model,is_debt_related
governance_centered_ai_model,is_expenditure_related
governance_centered_ai_model,is_revenue_related
governance_centered_ai_model,is_surplus_deficit_related
governance_centered_ai_model,n_raw_labels
governance_centered_ai_model,n_source_files
governance_centered_ai_model,n_source_sheets
governance_centered_ai_model,n_value_columns
governance_centered_ai_model,panel_audit_readiness_index_0_1
governance_centered_ai_model,panel_decision_usability_index_0_1
governance_centered_ai_model,panel_decision_usability_score_1_5
governance_centered_ai_model,panel_governance_alignment_index_0_1
governance_centered_ai_model,panel_interpretability_index_0_1
governance_centered_ai_model,panel_interpretability_score_1_5
governance_centered_ai_model,panel_risk_signal_completeness_0_1
governance_centered_ai_model,panel_temporal_support_index_0_1
governance_centered_ai_model,panel_traceability_index_0_1
governance_centered_ai_model,period_order
governance_centered_ai_model,value_abs_robust_z_by_entity
governance_centered_ai_model,value_change_lag_1
governance_centered_ai_model,value_change_lag_2
governance_centered_ai_model,value_change_lag_4
governance_centered_ai_model,value_count
governance_centered_ai_model,value_lag_1
governance_centered_ai_model,value_lag_2
governance_centered_ai_model,value_lag_4
governance_centered_ai_model,value_max
governance_centered_ai_model,value_mean
governance_centered_ai_model,value_median
governance_centered_ai_model,value_min
governance_centered_ai_model,value_minmax_by_entity
governance_centered_ai_model,value_pct_change_lag_1
governance_centered_ai_model,value_pct_change_lag_2
governance_centered_ai_model,value_pct_change_lag_4
governance_centered_ai_model,value_robust_z_by_entity
governance_centered_ai_model,value_robust_z_by_period
governance_centered_ai_model,value_rolling_mean_2
governance_centered_ai_model,value_rolling_mean_4
governance_centered_ai_model,value_rolling_std_2
governance_centered_ai_model,value_rolling_std_4
governance_centered_ai_model,value_std
governance_centered_ai_model,value_sum
governance_centered_ai_model,value_winsorized
governance_centered_ai_model,year
