model,added_governance_metric,metric,mean,ci_lower_2_5,ci_upper_97_5,n_bootstrap_valid
leakage_safe_baseline_only,none,roc_auc,0.9555586857090307,0.9227263014763015,0.9807903057917381,1000
leakage_safe_baseline_only,none,average_precision,0.8760175196529568,0.777765276787056,0.9465717440812514,1000
leakage_safe_baseline_only,none,f1,0.7904454669068568,0.6764507154213037,0.8780601777980397,1000
leakage_safe_baseline_only,none,balanced_accuracy,0.8577011811721351,0.7873122927364142,0.917984740918311,1000
leakage_safe_baseline_only,none,mcc,0.7264453919587034,0.5924380053258327,0.8378125621219755,1000
baseline_plus__panel_traceability_index_0_1,panel_traceability_index_0_1,roc_auc,0.9557363331128161,0.9245014277834692,0.9807570587560944,1000
baseline_plus__panel_traceability_index_0_1,panel_traceability_index_0_1,average_precision,0.8745486133403155,0.7741577842817191,0.9464094611003091,1000
baseline_plus__panel_traceability_index_0_1,panel_traceability_index_0_1,f1,0.7904454669068568,0.6764507154213037,0.8780601777980397,1000
baseline_plus__panel_traceability_index_0_1,panel_traceability_index_0_1,balanced_accuracy,0.8577011811721351,0.7873122927364142,0.917984740918311,1000
baseline_plus__panel_traceability_index_0_1,panel_traceability_index_0_1,mcc,0.7264453919587034,0.5924380053258327,0.8378125621219755,1000
baseline_plus__panel_interpretability_index_0_1,panel_interpretability_index_0_1,roc_auc,0.9585811233095848,0.9308362341241916,0.9810990732976107,1000
baseline_plus__panel_interpretability_index_0_1,panel_interpretability_index_0_1,average_precision,0.8884192100888951,0.8058502017624656,0.9500216058609987,1000
baseline_plus__panel_interpretability_index_0_1,panel_interpretability_index_0_1,f1,0.7744800861130526,0.6551724137931034,0.8648648648648649,1000
baseline_plus__panel_interpretability_index_0_1,panel_interpretability_index_0_1,balanced_accuracy,0.8451059349340158,0.7697385255167958,0.907163987095398,1000
baseline_plus__panel_interpretability_index_0_1,panel_interpretability_index_0_1,mcc,0.7073627777858151,0.5655892535432829,0.8225365407613094,1000
baseline_plus__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,roc_auc,0.9554971076876478,0.9229757468066624,0.9802934000220165,1000
baseline_plus__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,average_precision,0.8768463511317578,0.7775890371158607,0.9456138423399908,1000
baseline_plus__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,f1,0.7904454669068568,0.6764507154213037,0.8780601777980397,1000
baseline_plus__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,balanced_accuracy,0.8577011811721351,0.7873122927364142,0.917984740918311,1000
baseline_plus__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,mcc,0.7264453919587034,0.5924380053258327,0.8378125621219755,1000
baseline_plus__panel_governance_alignment_index_0_1,panel_governance_alignment_index_0_1,roc_auc,0.9592219582089194,0.9308948692112362,0.982761877394636,1000
baseline_plus__panel_governance_alignment_index_0_1,panel_governance_alignment_index_0_1,average_precision,0.8863934331230577,0.7975338078061832,0.9522928284009353,1000
baseline_plus__panel_governance_alignment_index_0_1,panel_governance_alignment_index_0_1,f1,0.8056277834553129,0.7,0.8888888888888888,1000
baseline_plus__panel_governance_alignment_index_0_1,panel_governance_alignment_index_0_1,balanced_accuracy,0.8700876456574851,0.8025540865384615,0.930352706461275,1000
