feature_set,feature,role
leakage_safe_baseline,year,baseline_feature
leakage_safe_baseline,period_order,baseline_feature
leakage_safe_baseline,value_mean,baseline_feature
leakage_safe_baseline,value_median,baseline_feature
leakage_safe_baseline,value_sum,baseline_feature
leakage_safe_baseline,value_min,baseline_feature
leakage_safe_baseline,value_max,baseline_feature
leakage_safe_baseline,value_std,baseline_feature
leakage_safe_baseline,value_winsorized,baseline_feature
leakage_safe_baseline,is_core_indicator,baseline_feature
leakage_safe_baseline,is_revenue_related,baseline_feature
leakage_safe_baseline,is_expenditure_related,baseline_feature
leakage_safe_baseline,is_debt_related,baseline_feature
leakage_safe_baseline,is_surplus_deficit_related,baseline_feature
baseline_plus__panel_traceability_index_0_1,panel_traceability_index_0_1,added_governance_metric
baseline_plus__panel_interpretability_index_0_1,panel_interpretability_index_0_1,added_governance_metric
baseline_plus__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,added_governance_metric
baseline_plus__panel_governance_alignment_index_0_1,panel_governance_alignment_index_0_1,added_governance_metric
baseline_plus__panel_risk_signal_completeness_0_1,panel_risk_signal_completeness_0_1,added_governance_metric
baseline_plus__panel_temporal_support_index_0_1,panel_temporal_support_index_0_1,added_governance_metric
baseline_plus__panel_decision_usability_index_0_1,panel_decision_usability_index_0_1,added_governance_metric
baseline_plus__panel_interpretability_score_1_5,panel_interpretability_score_1_5,added_governance_metric
baseline_plus__panel_decision_usability_score_1_5,panel_decision_usability_score_1_5,added_governance_metric
