model,added_governance_metric,feature_count,baseline_feature_count,governance_feature_count,formula,roc_auc,average_precision,f1,balanced_accuracy,mcc,delta_roc_auc,delta_average_precision,delta_f1,delta_balanced_accuracy,delta_mcc,improves_roc_auc,improves_f1,improves_balanced_accuracy
leakage_safe_baseline_only,none,14,14,0,,0.9564049586776859,0.8773836478501718,0.7948717948717948,0.8585743801652892,0.7297726428189694,0.0,0.0,0.0,0.0,0.0,False,False,False
baseline_plus__panel_traceability_index_0_1,panel_traceability_index_0_1,15,14,1,0.35×normalized source-file count + 0.35×normalized source-sheet count + 0.30×normalized value count.,0.9566115702479339,0.8761935434029418,0.7948717948717948,0.8585743801652892,0.7297726428189694,0.00020661157024792765,-0.0011901044472300004,0.0,0.0,0.0,True,False,False
baseline_plus__panel_interpretability_index_0_1,panel_interpretability_index_0_1,15,14,1,0.25×core-indicator flag + 0.25×known-category flag + 0.25×known-indicator flag + 0.25×nonmissing feature coverage.,0.959504132231405,0.8902442270250148,0.7792207792207793,0.8460743801652892,0.7109031221985015,0.0030991735537190257,0.012860579174843068,-0.015651015651015565,-0.012499999999999956,-0.018869520620467872,True,False,False
baseline_plus__panel_audit_readiness_index_0_1,panel_audit_readiness_index_0_1,15,14,1,,0.956404958677686,0.8786959454760828,0.7948717948717948,0.8585743801652892,0.7297726428189694,1.1102230246251565e-16,0.0013122976259110075,0.0,0.0,0.0,True,False,False
baseline_plus__panel_governance_alignment_index_0_1,panel_governance_alignment_index_0_1,15,14,1,0.35×traceability index + 0.35×interpretability index + 0.30×audit-readiness index.,0.9601239669421486,0.8882246200333446,0.810126582278481,0.8710743801652893,0.7485165863881993,0.0037190082644626976,0.010840972183172815,0.015254787406686177,0.012500000000000067,0.018743943569229926,True,True,True
baseline_plus__panel_risk_signal_completeness_0_1,panel_risk_signal_completeness_0_1,15,14,1,,0.9580578512396695,0.8850522520836752,0.7792207792207793,0.8460743801652892,0.7109031221985015,0.0016528925619835322,0.007668604233503462,-0.015651015651015565,-0.012499999999999956,-0.018869520620467872,True,False,False
baseline_plus__panel_temporal_support_index_0_1,panel_temporal_support_index_0_1,15,14,1,,0.9615702479338843,0.8898004452792672,0.810126582278481,0.8710743801652893,0.7485165863881993,0.005165289256198413,0.012416797429095405,0.015254787406686177,0.012500000000000067,0.018743943569229926,True,True,True
baseline_plus__panel_decision_usability_index_0_1,panel_decision_usability_index_0_1,15,14,1,0.35×governance alignment + 0.35×risk signal completeness + 0.30×temporal support.,0.9623966942148761,0.8907506011241988,0.810126582278481,0.8710743801652893,0.7485165863881993,0.005991735537190124,0.013366953274027038,0.015254787406686177,0.012500000000000067,0.018743943569229926,True,True,True
baseline_plus__panel_interpretability_score_1_5,panel_interpretability_score_1_5,15,14,1,1 + 4×panel_interpretability_index_0_1.,0.959504132231405,0.8902442270250148,0.7792207792207793,0.8460743801652892,0.7109031221985015,0.0030991735537190257,0.012860579174843068,-0.015651015651015565,-0.012499999999999956,-0.018869520620467872,True,False,False
baseline_plus__panel_decision_usability_score_1_5,panel_decision_usability_score_1_5,15,14,1,1 + 4×panel_decision_usability_index_0_1.,0.9623966942148761,0.8907506011241988,0.810126582278481,0.8710743801652893,0.7485165863881993,0.005991735537190124,0.013366953274027038,0.015254787406686177,0.012500000000000067,0.018743943569229926,True,True,True
