observation_id,year,period,period_order,n_long_records,n_unique_labels,n_source_files,n_source_sheets,n_categories,n_indicators,debt_public_debt__value_mean,expenditure_total_expenditure__value_mean,non_oil_revenue_total_revenue__value_mean,oil_revenue_total_revenue__value_mean,other_other__value_mean,other_total_revenue__value_mean,revenue_total_revenue__value_mean,surplus_deficit_surplus_deficit__value_mean,debt_public_debt__value_median,expenditure_total_expenditure__value_median,non_oil_revenue_total_revenue__value_median,oil_revenue_total_revenue__value_median,other_other__value_median,other_total_revenue__value_median,revenue_total_revenue__value_median,surplus_deficit_surplus_deficit__value_median,debt_public_debt__value_sum,expenditure_total_expenditure__value_sum,non_oil_revenue_total_revenue__value_sum,oil_revenue_total_revenue__value_sum,other_other__value_sum,other_total_revenue__value_sum,revenue_total_revenue__value_sum,surplus_deficit_surplus_deficit__value_sum,debt_public_debt__value_count,expenditure_total_expenditure__value_count,non_oil_revenue_total_revenue__value_count,oil_revenue_total_revenue__value_count,other_other__value_count,other_total_revenue__value_count,revenue_total_revenue__value_count,surplus_deficit_surplus_deficit__value_count,debt_public_debt__source_file_count,expenditure_total_expenditure__source_file_count,non_oil_revenue_total_revenue__source_file_count,oil_revenue_total_revenue__source_file_count,other_other__source_file_count,other_total_revenue__source_file_count,revenue_total_revenue__source_file_count,surplus_deficit_surplus_deficit__source_file_count,debt_public_debt__sheet_count,expenditure_total_expenditure__sheet_count,non_oil_revenue_total_revenue__sheet_count,oil_revenue_total_revenue__sheet_count,other_other__sheet_count,other_total_revenue__sheet_count,revenue_total_revenue__sheet_count,surplus_deficit_surplus_deficit__sheet_count,category__debt__category_value_mean,category__expenditure__category_value_mean,category__non_oil_revenue__category_value_mean,category__oil_revenue__category_value_mean,category__other__category_value_mean,category__revenue__category_value_mean,category__surplus_deficit__category_value_mean,category__debt__category_value_sum,category__expenditure__category_value_sum,category__non_oil_revenue__category_value_sum,category__oil_revenue__category_value_sum,category__other__category_value_sum,category__revenue__category_value_sum,category__surplus_deficit__category_value_sum,category__debt__category_value_count,category__expenditure__category_value_count,category__non_oil_revenue__category_value_count,category__oil_revenue__category_value_count,category__other__category_value_count,category__revenue__category_value_count,category__surplus_deficit__category_value_count,risk_component_revenue_expenditure_imbalance_raw,risk_component_revenue_expenditure_imbalance,risk_component_deficit_pressure_raw,risk_component_deficit_pressure,risk_component_debt_pressure_raw,risk_component_debt_pressure,oil_revenue_share,non_oil_revenue_share,risk_component_revenue_composition_pressure_raw,risk_component_revenue_composition_pressure,expenditure_qoq_change,risk_component_expenditure_volatility_raw,risk_component_expenditure_volatility,fiscal_risk_score_0_100,high_risk_threshold_quantile,high_risk_threshold_value,fiscal_anomaly_label,label_high_revenue_expenditure_imbalance,label_high_deficit_pressure,label_high_debt_pressure,label_high_revenue_composition_pressure,label_high_expenditure_volatility,multi_component_anomaly_label,risk_level,traceability_index_0_1,interpretability_score_0_1,audit_readiness_score_0_1,governance_alignment_index_0_1,risk_signal_completeness_0_1,temporal_comparability_0_1,decision_usability_score_0_1,interpretability_score_1_5,decision_usability_score_1_5,risk_score_absolute_change,temporal_consistency_component
2021__end_year_annual,2021,End-Year/Annual,5,6,3,1,1,3,3,,1014466.5,,,,,907275.0,-107191.5,,1014466.5,,,,,907275.0,-107191.5,,2028933.0,,,,,1814550.0,-214383.0,,2.0,,,,,2.0,2.0,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,1014466.5,,,,907275.0,-107191.5,,2028933.0,,,,1814550.0,-214383.0,,2.0,,,,2.0,2.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.75,20.332874866828153,0,0,0,1,1,0,1,low,0.0,0.8515151515151514,1.0,0.548030303030303,1.0,0.0,0.5692121212121212,4.406060606060606,3.2768484848484847,,
2022__q1,2022,Q1,1,86,47,4,5,6,4,,48561.98371399068,94259.89162156,183698.755811325,0.0,,53462.934150635,16426.0,,12670.46,94259.89162156,183698.755811325,0.0,,5064.22321262,0.0,,3156528.941409394,94259.89162156,183698.755811325,0.0,,374240.539054445,114982.0,,65.0,1.0,1.0,5.0,,7.0,7.0,,4.0,1.0,1.0,1.0,,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,3.0,,48561.98371399068,94259.89162156,183698.755811325,0.0,53462.934150635,16426.0,,3156528.941409394,94259.89162156,183698.755811325,0.0,374240.539054445,114982.0,,65.0,1.0,1.0,5.0,7.0,7.0,0.4848075583519647,0.13174303586154404,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,-0.9521305201167405,0.9521305201167405,0.12029407623814432,5.699457421301488,0.75,20.332874866828153,0,1,0,1,1,1,1,moderate,0.6176470588235294,0.9108174770965468,1.0,0.8158449405132031,1.0,1.0,0.9263379762052812,4.643269908386188,4.705351904821125,5.699457421301488,0.7767801558531682
2022__q2,2022,Q2,2,97,57,2,4,6,4,,81435.22889944095,171651.33333333334,265013.3333333333,0.0,,87094.85714285714,77907.0,,20240.339100580004,120001.0,250364.0,0.0,,18313.0,77907.0,,5130419.42066478,514954.0,795040.0,0.0,,1828992.0,155814.0,,63.0,3.0,3.0,5.0,,21.0,2.0,,2.0,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,81435.22889944095,171651.33333333334,265013.3333333333,0.0,87094.85714285714,77907.0,,5130419.42066478,514954.0,795040.0,0.0,1828992.0,155814.0,,63.0,3.0,3.0,5.0,21.0,2.0,0.5255776502399772,0.14671384678446617,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.6769337385198189,0.6769337385198189,0.07854205843248283,5.238687338261311,0.75,20.332874866828153,0,1,0,1,1,1,1,moderate,0.3838235294117647,0.9154326772883473,1.0,0.7239308488156274,1.0,1.0,0.8895723395262509,4.661730709153389,4.558289358105004,0.46077008304017664,0.9819538916565388
2022__q3,2022,Q3,3,132,63,2,4,6,4,,102775.22011216907,168780.66666666666,346306.1666666667,0.0,,100226.29268292684,14143.0,,28848.0,88296.5,229023.0,0.0,,18617.9,14143.0,,7399815.848076173,1012684.0,2077837.0,0.0,,4109278.0,28286.0,,72.0,6.0,6.0,5.0,,41.0,2.0,,2.0,2.0,2.0,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,102775.22011216907,168780.66666666666,346306.1666666667,0.0,100226.29268292684,14143.0,,7399815.848076173,1012684.0,2077837.0,0.0,4109278.0,28286.0,,72.0,6.0,6.0,5.0,41.0,2.0,0.39107231804490394,0.09732337933228603,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.2620486428432527,0.2620486428432527,0.015596954927008777,2.7450235818473265,0.75,20.332874866828153,0,0,0,1,1,0,1,low,0.43529411764705883,0.9249999999999999,1.0,0.7478676470588235,1.0,1.0,0.8991470588235293,4.699999999999999,4.596588235294117,2.4936637564139845,0.9023353989836065
2022__q4,2022,Q4,4,69,48,1,3,5,3,,149168.77043973038,219487.66666666663,415214.6666666667,,,122219.86735000144,-45686.0,,52178.0,123786.0,194186.0,,,24481.0,-45686.0,,6115919.588028945,658463.0,1245644.0,,,2566617.21435003,-45686.0,,41.0,3.0,3.0,,,21.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,149168.77043973038,219487.66666666663,415214.6666666667,,122219.86735000144,-45686.0,,6115919.588028945,658463.0,1245644.0,,2566617.21435003,-45686.0,,41.0,3.0,3.0,,21.0,1.0,0.32037743757934584,0.07136416168873592,0.20814836976413256,0.66652183156844,,0.0,1.0,1.0,0.0,0.0,0.451407939354713,0.451407939354713,0.04432597084694811,16.001060090526163,0.75,20.332874866828153,0,0,1,1,1,0,1,moderate,0.1926470588235294,0.9242424242424242,1.0,0.6505436720142602,1.0,1.0,0.860217468805704,4.696969696969697,4.440869875222816,13.256036508678836,0.4808259480257151
2022__end_year_annual,2022,End-Year/Annual,5,178,46,3,6,7,5,248625.91666666663,78731.17704596637,109059.68,177550.77333333337,64300.32257415856,,114422.43691351956,109781.29341272986,60002.5,7434.393418080001,117978.5,190438.0,0.0,,10405.0,103854.8802381896,2983511.0,8109311.235734536,654358.08,1065304.64,450102.25801911,,4691319.913454302,329343.8802381896,12.0,103.0,6.0,6.0,7.0,,41.0,3.0,1.0,3.0,1.0,1.0,1.0,,3.0,3.0,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,248625.91666666663,78731.17704596637,109059.68,177550.77333333337,64300.32257415856,114422.43691351956,109781.29341272986,2983511.0,8109311.235734536,654358.08,1065304.64,450102.25801911,4691319.913454302,329343.8802381896,12.0,103.0,6.0,6.0,7.0,41.0,3.0,0.2780908852293866,0.05583650524998193,0.0,0.0,2.279723511628373,1.0,1.0,1.0,0.0,0.0,-0.472200670328803,0.472200670328803,0.04748058068221169,22.345524244893785,0.75,20.332874866828153,1,0,0,1,1,0,1,high,0.7029411764705882,0.9542900919305413,1.0,0.8651780027639246,1.0,1.0,0.9460712011055699,4.817160367722165,4.784284804422279,6.344464154367621,0.7515183999024058
2023__q1,2023,Q1,1,74,47,5,4,6,4,,58920.571128666816,102338.764773147,178605.46071,1164.150137306216,,55043.71289375629,484.93744278907735,,19205.0,102338.764773147,178605.46071,0.0,,7188.2436034600005,0.0,,3181710.840948008,102338.764773147,178605.46071,5820.75068653108,,385305.990256294,2909.624656734464,,54.0,1.0,1.0,5.0,,7.0,6.0,,3.0,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,58920.571128666816,102338.764773147,178605.46071,1164.150137306216,55043.71289375629,484.93744278907735,,3181710.840948008,102338.764773147,178605.46071,5820.75068653108,385305.990256294,2909.624656734464,,54.0,1.0,1.0,5.0,7.0,6.0,0.4242595046043865,0.10950974124705622,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,-0.25162339317921456,0.25162339317921456,0.014015267789987929,3.018048886976164,0.75,20.332874866828153,0,0,0,1,1,0,1,low,0.65,0.9042178542178542,1.0,0.8264762489762489,1.0,1.0,0.9305904995904996,4.616871416871417,4.722361998361999,19.32747535791762,0.24303741246988275
2023__q2,2023,Q2,2,96,57,3,3,6,4,,91933.7484152896,165011.33512789034,357283.0936588747,2107.6,,98379.34722590314,-5269.0,,24484.0,135083.12795419604,229023.0,0.0,,18618.0,-5269.0,,5791826.150163245,495034.005383671,1071849.280976624,10538.0,,2065966.291743966,-5269.0,,63.0,3.0,3.0,5.0,,21.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,91933.7484152896,165011.33512789034,357283.0936588747,2107.6,98379.34722590314,-5269.0,,5791826.150163245,495034.005383671,1071849.280976624,10538.0,2065966.291743966,-5269.0,,63.0,3.0,3.0,5.0,21.0,1.0,0.44286404116397643,0.11634134221345255,0.031931139736044896,0.10224822690205773,,0.0,1.0,1.0,0.0,0.0,0.5602996823389714,0.5602996823389714,0.06084669454722531,6.170431984321975,0.75,20.332874866828153,0,0,0,1,1,0,1,moderate,0.4323529411764706,0.915056818181818,1.0,0.7432110628342246,1.0,1.0,0.8972844251336898,4.660227272727273,4.589137700534759,3.152383097345811,0.876536587316069
2023__q3,2023,Q3,3,210,70,3,6,7,5,269357.25,111478.22649815847,174131.93857777744,278130.630196913,58170.39944381859,,95654.74935201126,-39861.5,69394.5,28208.66137683,111533.34581111991,147006.0,25141.7115064465,,16445.690097489998,-39861.5,3232287.0,12151126.688299276,1567187.447199997,2503175.6717722174,581703.9944381859,,5643630.211768664,-79723.0,12.0,109.0,9.0,9.0,10.0,,59.0,2.0,1.0,3.0,3.0,3.0,2.0,,3.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,269357.25,111478.22649815847,174131.93857777744,278130.630196913,58170.39944381859,95654.74935201126,-39861.5,3232287.0,12151126.688299276,1567187.447199997,2503175.6717722174,581703.9944381859,5643630.211768664,-79723.0,12.0,109.0,9.0,9.0,10.0,59.0,2.0,0.3598059758097403,0.08584235301672752,0.22891550123181761,0.7330212546383833,1.5468572405497536,0.08454459163259986,1.0,1.0,0.0,0.0,0.2125930729440202,0.2125930729440202,0.008093706440453837,18.65924987964693,0.75,20.332874866828153,0,0,1,1,1,0,1,moderate,0.75,0.9484848484848485,1.0,0.8819696969696971,1.0,1.0,0.9527878787878789,4.793939393939394,4.811151515151515,12.488817895324953,0.5108741450101036
2023__q4,2023,Q4,4,152,60,2,6,7,5,279317.836054485,148351.15399449418,188833.50254700924,334591.0020749592,72361.2148025566,,109682.03381817356,-58970.8901500178,94616.258163455,37789.20368825,108772.59600847703,249211.041478688,36995.289134095,,6559.566488010001,-58970.8901500178,3351814.03265382,11571390.011570545,1133001.0152820554,2007546.0124497556,651250.9332230093,,4277599.318908769,-117941.7803000356,12.0,78.0,6.0,6.0,9.0,,39.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,279317.836054485,148351.15399449418,188833.50254700924,334591.0020749592,72361.2148025566,109682.03381817356,-58970.8901500178,3351814.03265382,11571390.011570545,1133001.0152820554,2007546.0124497556,651250.9332230093,4277599.318908769,-117941.7803000356,12.0,78.0,6.0,6.0,9.0,39.0,2.0,0.2143811771030258,0.03244224857442259,0.3122904005624599,1.0,1.4791752114270618,0.0,1.0,1.0,0.0,0.0,0.3307634921600122,0.3307634921600122,0.026022162647602206,21.33149946731261,0.75,20.332874866828153,1,0,1,1,1,0,1,high,0.5647058823529412,0.9403708133971291,1.0,0.8050121376301717,1.0,1.0,0.9220048550520686,4.7614832535885165,4.688019420208274,2.672249587665682,0.8953410662827697
